Tempo (s) ,Distância (m) ,Refletância (%) ,Erro (%) ,Velocidade Esq. (deg/s) ,Velocidade Dir. (deg/s) ,Velocidade Média (m/s) ,Oscilação ,Suavidade (deg/s)
0.013 ,0.0 ,72 ,28.27720668859648 ,0 ,0 ,0.0 ,0 ,0
0.048 ,0.0 ,72 ,28.27720668859648 ,0 ,0 ,0.0 ,0 ,0
0.08699999999999999 ,0.0004886921905584122 ,72 ,28.27720668859648 ,8 ,6 ,0.005617151615613933 ,0 ,14
0.122 ,0.002199114857512855 ,73 ,29.27720668859648 ,74 ,138 ,0.01802553161895783 ,0 ,180
0.161 ,0.004642575810304916 ,76 ,32.27720668859648 ,60 ,179 ,0.02883587459816718 ,0 ,53
0.195 ,0.006352998477259359 ,76 ,32.27720668859648 ,48 ,189 ,0.03257947937056081 ,0 ,30
0.234 ,0.008796459430051421 ,73 ,29.27720668859648 ,37 ,218 ,0.03759170696603171 ,0 ,39
0.276 ,0.0117286125734019 ,53 ,9.277206688596479 ,63 ,222 ,0.04249497309203585 ,0 ,35
0.311 ,0.01392772743091475 ,36 ,-7.722793311403521 ,59 ,205 ,0.04478368948847185 ,1 ,22
0.347 ,0.0161268422884276 ,22 ,-21.72279331140352 ,50 ,173 ,0.04647504982255794 ,1 ,37
0.385 ,0.01832595714594046 ,14 ,-29.72279331140352 ,89 ,129 ,0.04759988869075444 ,1 ,88
0.42 ,0.02028072590817411 ,13 ,-30.72279331140352 ,182 ,64 ,0.04828744263850979 ,1 ,145
0.458 ,0.02272418686096617 ,13 ,-30.72279331140352 ,213 ,51 ,0.04961612851739338 ,1 ,59
0.495 ,0.02492330171847903 ,19 ,-24.72279331140352 ,174 ,43 ,0.0503501044817758 ,1 ,46
0.534 ,0.02712241657599188 ,28 ,-15.72279331140352 ,197 ,67 ,0.05079104227713835 ,1 ,33
0.576 ,0.03005456971934235 ,49 ,5.277206688596479 ,221 ,76 ,0.05217807242941381 ,2 ,43
0.614 ,0.03249803067213442 ,60 ,16.27720668859648 ,194 ,53 ,0.05292838871683131 ,2 ,39
0.65 ,0.03469714552964727 ,74 ,30.27720668859648 ,127 ,86 ,0.05338022389176502 ,2 ,94
0.6870000000000001 ,0.03665191429188092 ,77 ,33.27720668859648 ,70 ,195 ,0.05335067582515417 ,2 ,185
0.725 ,0.03909537524467298 ,72 ,28.27720668859648 ,48 ,198 ,0.05392465550989376 ,2 ,26
0.76 ,0.04080579791162743 ,65 ,21.27720668859648 ,40 ,171 ,0.0536918393574045 ,2 ,41
0.7970000000000001 ,0.04324925886441948 ,47 ,3.277206688596479 ,71 ,194 ,0.05426506758396421 ,2 ,43
0.833 ,0.04569271981721155 ,31 ,-12.72279331140352 ,73 ,215 ,0.05485320506267893 ,3 ,30
0.8699999999999999 ,0.04789183467472441 ,19 ,-24.72279331140352 ,51 ,199 ,0.05504808583301656 ,3 ,25
0.908 ,0.05033529562751646 ,12 ,-31.72279331140352 ,80 ,143 ,0.05543534760739698 ,3 ,78
0.943 ,0.05253441048502932 ,10 ,-33.72279331140352 ,198 ,68 ,0.05570987326090067 ,3 ,208
0.9779999999999999 ,0.05448917924726296 ,10 ,-33.72279331140352 ,198 ,40 ,0.05571490720579035 ,3 ,36
1.014 ,0.05668829410477583 ,14 ,-29.72279331140352 ,175 ,49 ,0.05590561548794461 ,3 ,35
1.051 ,0.05864306286700947 ,21 ,-22.72279331140352 ,193 ,62 ,0.05579739568697381 ,3 ,24
1.09 ,0.06108652381980153 ,32 ,-11.72279331140352 ,218 ,62 ,0.05604268240348763 ,3 ,31
1.128 ,0.0635299847725936 ,48 ,4.277206688596479 ,213 ,48 ,0.05632090848634185 ,4 ,15
1.166 ,0.06597344572538566 ,63 ,19.27720668859648 ,183 ,48 ,0.0565809997644817 ,4 ,35
1.203 ,0.06817256058289852 ,73 ,29.27720668859648 ,130 ,130 ,0.05666879516450417 ,4 ,131
1.243 ,0.07086036763096977 ,75 ,31.27720668859648 ,67 ,200 ,0.05700753630810118 ,4 ,148
1.277 ,0.07281513639320342 ,74 ,30.27720668859648 ,36 ,196 ,0.0570204670267842 ,4 ,40
1.315 ,0.07501425125071628 ,66 ,22.27720668859648 ,62 ,170 ,0.05704505798533558 ,4 ,53
1.351 ,0.07721336610822914 ,57 ,13.27720668859648 ,71 ,181 ,0.05715275063525473 ,4 ,25
1.39 ,0.0796568270610212 ,41 ,-2.722793311403521 ,54 ,224 ,0.05730706982807281 ,4 ,55
1.434 ,0.08258898020437167 ,23 ,-20.72279331140352 ,47 ,215 ,0.05759343110486169 ,5 ,9
1.469 ,0.08454374896660532 ,12 ,-31.72279331140352 ,59 ,180 ,0.05755190535507511 ,5 ,39
1.505 ,0.08698720991939739 ,8 ,-35.72279331140352 ,98 ,151 ,0.05779881057767269 ,5 ,71
1.54 ,0.08894197868163102 ,7 ,-36.72279331140352 ,186 ,72 ,0.05775453161144872 ,5 ,166
1.577 ,0.09114109353914388 ,7 ,-36.72279331140352 ,208 ,46 ,0.05779397180668604 ,5 ,53
1.616 ,0.09334020839665675 ,10 ,-33.72279331140352 ,183 ,44 ,0.05776002994842619 ,5 ,26
1.653 ,0.0952949771588904 ,13 ,-30.72279331140352 ,174 ,69 ,0.05764971394972195 ,5 ,40
1.694 ,0.09798278420696168 ,18 ,-25.72279331140352 ,214 ,56 ,0.05784107686361374 ,5 ,58
1.732 ,0.1006705912550329 ,29 ,-14.72279331140352 ,230 ,43 ,0.05812389795325226 ,5 ,28
1.772 ,0.103114052207825 ,51 ,7.277206688596479 ,195 ,54 ,0.05819077438364841 ,6 ,42
1.81 ,0.1053131670653378 ,68 ,24.27720668859648 ,171 ,70 ,0.05818407020184411 ,6 ,35
1.846 ,0.1077566280181299 ,73 ,29.27720668859648 ,137 ,114 ,0.05837303792964784 ,6 ,79
1.88 ,0.1097113967803635 ,75 ,31.27720668859648 ,78 ,190 ,0.0583571259470019 ,6 ,137
1.921 ,0.1121548577331556 ,76 ,32.27720668859648 ,42 ,200 ,0.0583835802879519 ,6 ,50
1.96 ,0.1145983186859477 ,77 ,33.27720668859648 ,48 ,183 ,0.05846852994181004 ,6 ,21
1.996 ,0.1165530874481813 ,74 ,30.27720668859648 ,56 ,186 ,0.05839333038486037 ,6 ,8
2.032 ,0.1187522023056942 ,66 ,22.27720668859648 ,61 ,201 ,0.05844104444177863 ,6 ,20
2.066 ,0.1211956632584863 ,58 ,14.27720668859648 ,65 ,215 ,0.05866198608832828 ,6 ,19
2.104 ,0.1236391242112783 ,54 ,10.27720668859648 ,47 ,196 ,0.05876384230574063 ,6 ,36
2.144 ,0.1258382390687911 ,51 ,7.277206688596479 ,47 ,189 ,0.05869320852089139 ,6 ,7
2.183 ,0.1282817000215832 ,46 ,2.277206688596479 ,58 ,198 ,0.05876394870434412 ,6 ,16
2.22 ,0.1304808148790961 ,37 ,-6.722793311403521 ,53 ,199 ,0.05877514183743066 ,7 ,6
2.262 ,0.1329242758318882 ,26 ,-17.72279331140352 ,50 ,186 ,0.05876404767103809 ,7 ,15
2.301 ,0.1353677367846802 ,19 ,-24.72279331140352 ,109 ,135 ,0.05882995948921347 ,7 ,112
2.34 ,0.1378111977374723 ,20 ,-23.72279331140352 ,194 ,78 ,0.05889367424678302 ,7 ,144
2.373 ,0.1400103125949851 ,23 ,-20.72279331140352 ,214 ,43 ,0.05900139595237466 ,7 ,54
2.41 ,0.1417207352619395 ,35 ,-8.722793311403521 ,159 ,42 ,0.05880528434105374 ,7 ,48
2.448 ,0.1439198501194524 ,56 ,12.27720668859648 ,186 ,57 ,0.05879078844748873 ,8 ,26
2.487 ,0.1466076571675237 ,79 ,35.27720668859648 ,211 ,66 ,0.05894960079112331 ,8 ,42
2.524 ,0.1490511181203158 ,82 ,38.27720668859648 ,159 ,101 ,0.0590535333281758 ,8 ,82
2.555 ,0.1512502329778286 ,82 ,38.27720668859648 ,88 ,182 ,0.05919774284846521 ,8 ,155
2.592 ,0.1532050017400622 ,82 ,38.27720668859648 ,60 ,209 ,0.05910686795527092 ,8 ,58
2.629 ,0.1554041165975751 ,83 ,39.27720668859648 ,36 ,178 ,0.0591114935707779 ,8 ,49
2.665 ,0.1573588853598088 ,82 ,38.27720668859648 ,56 ,183 ,0.0590464860637181 ,8 ,19
2.703 ,0.1598023463126008 ,81 ,37.27720668859648 ,63 ,207 ,0.0591203648955238 ,8 ,29
2.741 ,0.1624901533606721 ,79 ,35.27720668859648 ,50 ,234 ,0.05928134015347394 ,8 ,45
2.78 ,0.1646892682181849 ,79 ,35.27720668859648 ,43 ,195 ,0.05924074396337589 ,8 ,35
2.819 ,0.167132729170977 ,78 ,34.27720668859648 ,58 ,190 ,0.0592879493334434 ,8 ,31
2.858 ,0.1695761901237691 ,78 ,34.27720668859648 ,47 ,203 ,0.05933386638340414 ,8 ,25
2.895 ,0.1715309588860027 ,77 ,33.27720668859648 ,44 ,194 ,0.05925076300034635 ,8 ,10
2.93 ,0.1737300737435156 ,76 ,32.27720668859648 ,61 ,197 ,0.05929354052679711 ,8 ,14
2.972 ,0.176662226886866 ,74 ,30.27720668859648 ,59 ,215 ,0.05944220285560768 ,8 ,19
3.008 ,0.1786169956490997 ,72 ,28.27720668859648 ,38 ,198 ,0.05938065014930175 ,8 ,26
3.047 ,0.1810604566018917 ,72 ,28.27720668859648 ,57 ,190 ,0.05942253252441475 ,8 ,32
3.086 ,0.1832595714594046 ,74 ,30.27720668859648 ,64 ,197 ,0.05938417740097362 ,8 ,23
3.12 ,0.1854586863169175 ,73 ,29.27720668859648 ,52 ,197 ,0.05944188664003764 ,8 ,11
3.154 ,0.1874134550791511 ,72 ,28.27720668859648 ,50 ,205 ,0.05942087986022546 ,8 ,11
3.19 ,0.189612569936664 ,69 ,25.27720668859648 ,42 ,213 ,0.05943967709613291 ,8 ,16
3.227 ,0.192056030889456 ,67 ,23.27720668859648 ,54 ,198 ,0.05951534889663961 ,8 ,21
3.263 ,0.1940107996516897 ,65 ,21.27720668859648 ,51 ,188 ,0.05945779946420156 ,8 ,18
3.3 ,0.1964542606044817 ,65 ,21.27720668859648 ,49 ,197 ,0.05953159412257023 ,8 ,10
3.337 ,0.1986533754619946 ,66 ,22.27720668859648 ,47 ,202 ,0.05953052905663608 ,8 ,9
3.375 ,0.2008524903195074 ,64 ,20.27720668859648 ,48 ,198 ,0.05951184898355776 ,8 ,6
3.413 ,0.2032959512722995 ,61 ,17.27720668859648 ,61 ,204 ,0.05956517763618502 ,8 ,20
3.45 ,0.2054950661298124 ,60 ,16.27720668859648 ,48 ,207 ,0.05956378728400358 ,8 ,17
3.491 ,0.2079385270826045 ,61 ,17.27720668859648 ,39 ,194 ,0.05956417275353894 ,8 ,23
3.525 ,0.2098932958448381 ,65 ,21.27720668859648 ,59 ,188 ,0.05954419740279095 ,8 ,28
3.564 ,0.2123367567976301 ,64 ,20.27720668859648 ,58 ,205 ,0.05957821458968296 ,8 ,18
3.601 ,0.2147802177504222 ,64 ,20.27720668859648 ,51 ,203 ,0.05964460365188065 ,8 ,9
3.642 ,0.2172236787032143 ,63 ,19.27720668859648 ,44 ,197 ,0.05964406334519888 ,8 ,14
3.68 ,0.2194227935607271 ,64 ,20.27720668859648 ,51 ,204 ,0.0596257591197628 ,8 ,10
3.715 ,0.22162190841824 ,69 ,25.27720668859648 ,55 ,203 ,0.05965596458095289 ,8 ,9
3.753 ,0.2238210232757528 ,71 ,27.27720668859648 ,50 ,201 ,0.05963789589015529 ,8 ,11
3.79 ,0.2262644842285449 ,73 ,29.27720668859648 ,49 ,207 ,0.05970039161703031 ,8 ,9
3.825 ,0.2287079451813369 ,74 ,30.27720668859648 ,51 ,207 ,0.05979292684479397 ,8 ,2
3.864 ,0.2309070600388498 ,76 ,32.27720668859648 ,48 ,195 ,0.05975855591067543 ,8 ,14
3.9 ,0.2331061748963626 ,74 ,30.27720668859648 ,51 ,202 ,0.05977081407599042 ,8 ,7
3.941 ,0.2355496358491547 ,74 ,30.27720668859648 ,44 ,199 ,0.05976900173792305 ,8 ,8
3.978 ,0.2379930968019468 ,68 ,24.27720668859648 ,52 ,195 ,0.05982732448515505 ,8 ,12
4.015 ,0.2401922116594597 ,65 ,21.27720668859648 ,54 ,197 ,0.05982371398741212 ,8 ,3
4.054 ,0.2426356726122517 ,65 ,21.27720668859648 ,53 ,218 ,0.05985093059009662 ,8 ,26
4.091 ,0.2450791335650437 ,67 ,23.27720668859648 ,48 ,204 ,0.05990690138475769 ,8 ,19
4.126 ,0.2470339023272774 ,70 ,26.27720668859648 ,44 ,199 ,0.05987249208125967 ,8 ,13
4.162 ,0.2489886710895111 ,72 ,28.27720668859648 ,59 ,193 ,0.05982428425985368 ,8 ,16
4.196 ,0.2509434398517447 ,75 ,31.27720668859648 ,51 ,204 ,0.05980539557953878 ,8 ,15
4.232 ,0.2533869008045367 ,78 ,34.27720668859648 ,43 ,199 ,0.0598740313810342 ,8 ,21
4.27 ,0.2555860156620496 ,79 ,35.27720668859648 ,50 ,197 ,0.05985620975692028 ,8 ,9
4.306 ,0.2577851305195625 ,80 ,36.27720668859648 ,50 ,200 ,0.05986649570821236 ,8 ,3
4.34 ,0.2599842453770754 ,80 ,36.27720668859648 ,53 ,198 ,0.05990420400393441 ,8 ,5
