Tempo (s), Distância (m), Refletância (%), Erro (%), Velocidade Esq. (deg/s), Velocidade Dir. (deg/s), Velocidade Média (m/s), Oscilação, Suavidade (deg/s)
0.016, 0.0, 80, 37.4096912103491, 0, 0, 0.0, 0, 0
0.055, 0.0, 80, 37.4096912103491, 0, 0, 0.0, 0, 0
0.09299999999999999, 0.0007330382858376185, 80, 37.4096912103491, 7, 19, 0.007882132105780845, 0, 26
0.133, 0.002932153143350474, 80, 37.4096912103491, 94, 160, 0.02204626423571785, 0, 214
0.167, 0.004886921905584122, 78, 35.40969121034911, 76, 166, 0.02926300542265941, 0, 34
0.206, 0.007330382858376183, 67, 24.4096912103491, 44, 194, 0.03558438280765138, 0, 61
0.243, 0.009773843811168245, 45, 2.409691210349102, 48, 239, 0.04022157946982817, 0, 42
0.283, 0.01270599695451872, 22, 20.5903087896509, 75, 227, 0.04489751574034883, 1, 37
0.323, 0.01514945790731078, 13, 29.5903087896509, 67, 186, 0.04690234646226248, 1, 50
0.363, 0.01808161105066125, 9, 33.5903087896509, 122, 146, 0.04981160069052686, 1, 79
0.397, 0.0200363798128949, 9, 33.5903087896509, 196, 91, 0.05046947056144812, 1, 148
0.438, 0.02272418686096617, 8, 34.5903087896509, 219, 42, 0.05188170516202321, 1, 75
0.475, 0.02492330171847903, 9, 33.5903087896509, 181, 58, 0.05247010888100847, 1, 57
0.513, 0.02736676267127109, 12, 30.5903087896509, 195, 81, 0.05334651592840368, 1, 29
0.553, 0.03005456971934235, 18, 24.5903087896509, 237, 53, 0.05434822734058291, 1, 77
0.593, 0.03298672286269283, 29, 13.5903087896509, 231, 49, 0.05562685137047695, 1, 4
0.633, 0.03567452991076409, 46, 3.409691210349102, 209, 68, 0.05635786715760521, 2, 42
0.6720000000000001, 0.03787364476827695, 62, 19.4096912103491, 176, 75, 0.05635959042898355, 2, 32
0.709, 0.04056145181634822, 71, 28.4096912103491, 138, 132, 0.05720938196946152, 2, 89
0.748, 0.04300491276914028, 77, 34.4096912103491, 73, 194, 0.05749319888922497, 2, 143
0.783, 0.04544837372193234, 77, 34.4096912103491, 51, 222, 0.05804390002801066, 2, 52
0.823, 0.04789183467472441, 72, 29.40969121034911, 66, 176, 0.05819177967767243, 2, 60
0.866, 0.05057964172279567, 59, 16.4096912103491, 70, 203, 0.05840605279768552, 2, 25
0.906, 0.05351179486614615, 38, 4.590308789650898, 59, 230, 0.05906379124298691, 3, 39
0.9459999999999999, 0.0561996019142174, 20, 22.5903087896509, 57, 209, 0.05940761301714313, 3, 16
0.985, 0.05864306286700947, 12, 30.5903087896509, 127, 138, 0.05953610443351215, 3, 125
1.023, 0.06108652381980153, 10, 32.5903087896509, 200, 68, 0.05971312201349123, 3, 164
1.057, 0.0632856386773144, 10, 32.5903087896509, 221, 44, 0.05987288427371277, 3, 46
1.093, 0.06548475353482725, 14, 28.5903087896509, 180, 59, 0.05991285776287945, 3, 53
1.133, 0.06792821448761933, 21, 21.5903087896509, 196, 72, 0.05995429345773991, 3, 31
1.174, 0.07086036763096977, 43, 0.4096912103491022, 239, 59, 0.06035806442160969, 3, 49
1.216, 0.07354817467904105, 63, 20.4096912103491, 222, 48, 0.06048369628210613, 4, 15
1.254, 0.0759916356318331, 77, 34.4096912103491, 190, 71, 0.06059939045600725, 4, 52
1.292, 0.07867944267990438, 80, 37.4096912103491, 153, 132, 0.06089740145503435, 4, 105
1.329, 0.08112290363269643, 80, 37.4096912103491, 78, 193, 0.06104055954303719, 4, 141
1.363, 0.08332201849020928, 80, 37.4096912103491, 56, 223, 0.06113134151886229, 4, 47
1.404, 0.08600982553828056, 81, 38.4096912103491, 60, 192, 0.06126055950019983, 4, 40
1.443, 0.08845328649107262, 78, 35.40969121034911, 70, 197, 0.06129818883650215, 4, 30
1.479, 0.09065240134858549, 64, 21.4096912103491, 52, 219, 0.06129303674684615, 4, 38
1.519, 0.09358455449193595, 46, 3.409691210349102, 55, 225, 0.06160931829620537, 4, 9
1.558, 0.09627236154000723, 25, 17.5903087896509, 69, 207, 0.06179227313222543, 5, 29
1.596, 0.09847147639752007, 14, 28.5903087896509, 63, 188, 0.06169892004857147, 5, 26
1.632, 0.1006705912550329, 9, 33.5903087896509, 110, 135, 0.06168541130823096, 5, 72
1.673, 0.1033583983031042, 8, 34.5903087896509, 195, 64, 0.06178027394088716, 5, 177
1.708, 0.1058018592558962, 8, 34.5903087896509, 212, 51, 0.06194488246832332, 5, 40
1.745, 0.1082453202086883, 9, 33.5903087896509, 182, 68, 0.06203170212532282, 5, 43
1.783, 0.1104444350662012, 9, 33.5903087896509, 193, 69, 0.06194303705339381, 5, 8
1.818, 0.1128878960189932, 9, 33.5903087896509, 228, 58, 0.06209455226567285, 5, 45
1.862, 0.1158200491623437, 17, 25.5903087896509, 236, 52, 0.06220195980791821, 5, 19
1.899, 0.118507856210415, 31, 11.5903087896509, 199, 66, 0.06240540084803317, 5, 42
1.936, 0.1204626249726486, 52, 9.409691210349102, 190, 63, 0.06222243025446726, 6, 22
1.994, 0.1243721624971159, 73, 30.40969121034911, 193, 84, 0.0623732008511113, 6, 17
2.032, 0.126815623449908, 81, 38.4096912103491, 131, 189, 0.06240926350881298, 6, 177
2.072, 0.1295034304979792, 79, 36.4096912103491, 65, 222, 0.06250165564574289, 6, 104
2.109, 0.1319468914507713, 80, 37.4096912103491, 60, 185, 0.06256372283109118, 6, 40
2.144, 0.1341460063082842, 77, 34.4096912103491, 72, 189, 0.06256809995722207, 6, 16
2.183, 0.1368338133563554, 69, 26.4096912103491, 62, 222, 0.06268154528463374, 6, 42
2.223, 0.1395216204044267, 49, 6.409691210349102, 64, 231, 0.0627627622152167, 6, 13
2.265, 0.142209427452498, 28, 14.5903087896509, 58, 193, 0.06278561918432581, 7, 45
2.303, 0.14465288840529, 18, 24.5903087896509, 69, 186, 0.06281063326326097, 7, 10
2.344, 0.1473406954533613, 12, 30.5903087896509, 125, 138, 0.06285865846986404, 7, 112
2.383, 0.1500285025014326, 8, 34.5903087896509, 203, 76, 0.06295782731910725, 7, 134
2.419, 0.1522276173589454, 10, 32.5903087896509, 208, 55, 0.06292997823850576, 7, 38
2.457, 0.1544267322164583, 14, 28.5903087896509, 186, 65, 0.06285174286384139, 7, 31
2.498, 0.1576032314550879, 20, 22.5903087896509, 211, 75, 0.06309176599483104, 7, 42
2.536, 0.16004669240788, 34, 8.590308789650898, 221, 51, 0.06310989448260252, 7, 36
2.573, 0.1627344994559513, 55, 12.4096912103491, 221, 56, 0.06324698774036195, 8, 8
2.61, 0.1649336143134641, 69, 26.4096912103491, 184, 67, 0.06319295567565676, 8, 40
2.648, 0.167132729170977, 75, 32.4096912103491, 145, 117, 0.06311658956607891, 8, 78
2.686, 0.1698205362190483, 76, 33.4096912103491, 93, 204, 0.06322432472786607, 8, 154
2.723, 0.1725083432671195, 77, 34.4096912103491, 51, 219, 0.06335231115208209, 8, 66
2.76, 0.1744631120293532, 77, 34.4096912103491, 45, 177, 0.06321127247440332, 8, 50
2.799, 0.1769065729821452, 71, 28.4096912103491, 84, 204, 0.06320349159776537, 8, 52
2.839, 0.1800830722207749, 60, 17.4096912103491, 72, 227, 0.06343186763676467, 8, 37
2.883, 0.1827708792688462, 38, 4.590308789650898, 48, 213, 0.063396073280904, 9, 37
2.919, 0.1852143402216382, 23, 19.5903087896509, 65, 195, 0.06345129846578905, 9, 25
2.955, 0.1874134550791511, 14, 28.5903087896509, 112, 141, 0.06342248902847753, 9, 105
2.992, 0.1898569160319432, 11, 31.5903087896509, 199, 81, 0.06345485161495425, 9, 149
3.034, 0.1925447230800144, 11, 31.5903087896509, 226, 59, 0.06346233456823152, 9, 54
3.072, 0.1947438379375273, 14, 28.5903087896509, 167, 47, 0.06339317641195551, 9, 69
3.106, 0.1969429527950401, 21, 21.5903087896509, 195, 74, 0.06340726104154544, 9, 44
3.148, 0.2001194520336698, 36, 6.590308789650898, 231, 70, 0.06357034689760793, 9, 37
3.185, 0.2025629129864619, 54, 11.4096912103491, 222, 61, 0.06359903076498018, 10, 14
3.226, 0.2052507200345332, 71, 28.4096912103491, 206, 51, 0.0636239057763587, 10, 22
3.263, 0.2076941809873252, 78, 35.40969121034911, 147, 130, 0.06365129665563138, 10, 116
3.297, 0.2098932958448381, 79, 36.4096912103491, 87, 203, 0.06366190350161906, 10, 152
3.336, 0.2125811028929093, 80, 37.4096912103491, 51, 220, 0.0637233521861239, 10, 60
3.373, 0.2142915255598638, 78, 35.40969121034911, 38, 174, 0.06353143360802365, 10, 59
3.413, 0.216979332607935, 71, 28.4096912103491, 77, 199, 0.06357437228477441, 10, 61
3.454, 0.2201558318465647, 53, 10.4096912103491, 74, 234, 0.063739383858299, 10, 41
3.494, 0.2230879849899152, 21, 21.5903087896509, 55, 232, 0.06384887950484121, 11, 17
3.53, 0.225287099847428, 9, 33.5903087896509, 58, 196, 0.06382070817207595, 11, 30
3.573, 0.2279749068954994, 8, 34.5903087896509, 126, 145, 0.06380489977483888, 11, 110
3.613, 0.2306627139435706, 8, 34.5903087896509, 202, 65, 0.06384243397275688, 11, 169
3.653, 0.2328618288010834, 8, 34.5903087896509, 198, 45, 0.06374536786232778, 11, 22
3.693, 0.2353052897538755, 9, 33.5903087896509, 197, 58, 0.06371656911829826, 11, 15
3.733, 0.238237442897226, 13, 29.5903087896509, 220, 82, 0.06381929892773265, 11, 44
3.769, 0.240680903850018, 23, 19.5903087896509, 226, 59, 0.06385802702308783, 11, 33
3.81, 0.2433687108980893, 47, 4.409691210349102, 212, 41, 0.06387630207298932, 12, 33
3.846, 0.2458121718508814, 65, 22.4096912103491, 190, 82, 0.06391372123007835, 12, 55
3.886, 0.2487443249942319, 72, 29.40969121034911, 153, 121, 0.0640103769928543, 12, 84
3.919, 0.2509434398517447, 76, 33.4096912103491, 90, 199, 0.06403251846178737, 12, 137
3.958, 0.2533869008045367, 77, 34.4096912103491, 57, 222, 0.06401892390210629, 12, 60
3.993, 0.2550973234714911, 77, 34.4096912103491, 42, 179, 0.06388613159816959, 12, 55
4.029, 0.2575407844242832, 74, 31.4096912103491, 68, 194, 0.06392176332198641, 12, 24
4.07, 0.2604729375676337, 63, 20.4096912103491, 80, 226, 0.06399826475863236, 12, 53
4.108, 0.2631607446157051, 46, 3.409691210349102, 60, 227, 0.06406055126964583, 12, 26
4.147, 0.265604205568497, 30, 12.5903087896509, 47, 209, 0.06404731265215746, 13, 29
4.186, 0.2680476665212891, 17, 25.5903087896509, 65, 187, 0.06403432071698258, 13, 39
