Tempo (s), Distância (m), Vel. Média (m/s), Preto (%), Branco (%), Limite (%), Refletância (%), Erro (%), Ganho Proporcional ((°/s)/%), Ganho Integral ((°/s)/%), Ganho Derivativo ((°/s)/%), Vel. Base (°/s), Correção P (°/s), Correção I (°/s), Correção D (°/s), Correção (°/s), Vel. Angular Esq. (°/s), Vel. Angular Dir. (°/s), Suavidade Esq. (°/s), Suavidade Dir. (°/s), Oscilação
0.01, 0.0, 0.0, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.48, 0.04812753978200597, 0, 0, 0, 250, 0, 0, 0, 190, 0, 0, 0, 0, 0
0.055, 0.0, 0.0, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.67, 0.238127539782006, 0, 0, 0, 250, 0, 0, 0, 190, 0, 0, 0, 0, 0
0.105, 0.001710422666954443, 0.01628973968528041, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.65, 0.218127539782006, 0, 0, 0, 250, 0, 0, 0, 190, 51, 98, 51, 98, 0
0.161, 0.004642575810304916, 0.02883587459816718, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.5699999999999999, 0.138127539782006, 0, 0, 0, 250, 0, 0, 0, 190, 62, 194, 11, 96, 0
0.216, 0.009285151620609833, 0.04298681305837886, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.25, -0.181872460217994, 0, 0, 0, 250, 0, 0, 0, -190, 66, 261, 4, 67, 1
0.271, 0.01343903524035634, 0.04959053594227431, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.1, -0.3318724602179941, 0, 0, 0, 250, 0, 0, 0, -190, 86, 251, 20, 10, 1
0.321, 0.01734857276482363, 0.05404539802125743, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.09, -0.3418724602179941, 0, 0, 0, 250, 0, 0, 0, -190, 170, 134, 84, 117, 1
0.366, 0.02076941809873252, 0.05674704398560797, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.08, -0.351872460217994, 0, 0, 0, 250, 0, 0, 0, -190, 237, 74, 67, 60, 1
0.414, 0.0239459173373622, 0.05784038004193768, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.09, -0.3418724602179941, 0, 0, 0, 250, 0, 0, 0, -190, 247, 44, 10, 30, 1
0.463, 0.02785545486182949, 0.0601629694639946, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.14, -0.291872460217994, 0, 0, 0, 250, 0, 0, 0, -190, 259, 72, 12, 28, 1
0.516, 0.032009338481576, 0.06203360170848063, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.39, -0.04187246021799403, 0, 0, 0, 250, 0, 0, 0, -190, 257, 61, 2, 11, 1
0.5649999999999999, 0.03567452991076409, 0.06314076090400724, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.6899999999999999, 0.258127539782006, 0, 0, 0, 250, 0, 0, 0, 190, 247, 65, 10, 4, 2
0.614, 0.03933972133995219, 0.06407120739405894, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.8100000000000001, 0.378127539782006, 0, 0, 0, 250, 0, 0, 0, 190, 234, 74, 13, 9, 2
0.6640000000000001, 0.0434936049596987, 0.06550241710797997, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.8199999999999999, 0.388127539782006, 0, 0, 0, 250, 0, 0, 0, 190, 139, 186, 95, 112, 2
0.7109999999999999, 0.04691445029360758, 0.06598375568721179, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.8299999999999999, 0.398127539782006, 0, 0, 0, 250, 0, 0, 0, 190, 74, 252, 65, 66, 2
0.761, 0.05009094953223726, 0.06582253552199377, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.8199999999999999, 0.388127539782006, 0, 0, 0, 250, 0, 0, 0, 190, 43, 220, 31, 32, 2
0.8100000000000001, 0.05400048705670456, 0.06666726797124019, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.8100000000000001, 0.378127539782006, 0, 0, 0, 250, 0, 0, 0, 190, 76, 265, 33, 45, 2
0.856, 0.05766567848589265, 0.06736644682931383, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.65, 0.218127539782006, 0, 0, 0, 250, 0, 0, 0, 190, 68, 267, 8, 2, 2
0.9130000000000001, 0.06230825429619756, 0.06824562354457565, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.28, -0.151872460217994, 0, 0, 0, 250, 0, 0, 0, -190, 53, 234, 15, 33, 3
0.9719999999999999, 0.06646213791594407, 0.06837668509870789, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.09, -0.3418724602179941, 0, 0, 0, 250, 0, 0, 0, -190, 94, 230, 41, 4, 3
1.024, 0.07061602153569058, 0.06896095853094783, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.08, -0.351872460217994, 0, 0, 0, 250, 0, 0, 0, -190, 187, 120, 93, 110, 3
1.072, 0.07403686686959947, 0.06906424148283532, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.08, -0.351872460217994, 0, 0, 0, 250, 0, 0, 0, -190, 246, 67, 59, 53, 3
1.125, 0.07819075048934597, 0.06950288932386307, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.08, -0.351872460217994, 0, 0, 0, 250, 0, 0, 0, -190, 256, 53, 10, 14, 3
1.175, 0.08185594191853406, 0.06966463142002899, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.15, -0.2818724602179941, 0, 0, 0, 250, 0, 0, 0, -190, 257, 67, 1, 14, 3
1.234, 0.08600982553828056, 0.06970002069552718, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.4600000000000001, 0.02812753978200597, 0, 0, 0, 250, 0, 0, 0, 190, 245, 55, 12, 12, 4
1.284, 0.08991936306274784, 0.07003065659092512, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.75, 0.318127539782006, 0, 0, 0, 250, 0, 0, 0, 190, 226, 78, 19, 23, 4
