Tempo (s), Distância (m), Refletância (%), Erro (%), Velocidade Esq. (deg/s), Velocidade Dir. (deg/s), Velocidade Média (m/s), Oscilação, Suavidade (deg/s)
0.012, 0.0, 0.1, 0.3139296110215429, 0, 0, 0.0, 1, 0
0.04699999999999999, 0.0, 0.6899999999999999, 0.2760703889784571, 0, 0, 0.0, 2, 0
0.08699999999999999, 0.0009773843811168245, 0.6899999999999999, 0.2760703889784571, 17, 37, 1.123430323122787e-05, 2, 32
0.126, 0.002687807048071267, 0.71, 0.2960703889784571, 55, 134, 2.133180196881958e-05, 2, 157
0.167, 0.004886921905584122, 0.74, 0.3260703889784571, 54, 170, 2.926300542265942e-05, 2, 36
0.205, 0.007086036763096979, 0.75, 0.3360703889784571, 48, 198, 3.456603299071697e-05, 2, 31
0.239, 0.009040805525330626, 0.64, 0.2260703889784571, 43, 223, 3.782763818129968e-05, 2, 34
0.275, 0.01148426647812269, 0.41, 0.003929611021542883, 45, 215, 4.176096901135525e-05, 2, 12
0.311, 0.01392772743091475, 0.17, 0.2439296110215428, 61, 209, 4.478368948847185e-05, 3, 24
0.35, 0.0161268422884276, 0.08, 0.3339296110215429, 50, 184, 4.60766922526503e-05, 3, 35
0.385, 0.01808161105066125, 0.07000000000000001, 0.3439296110215429, 71, 136, 4.696522350821104e-05, 3, 94
0.42, 0.0200363798128949, 0.07000000000000001, 0.3439296110215429, 190, 78, 4.770566622117834e-05, 3, 150
0.454, 0.02223549467040776, 0.07000000000000001, 0.3439296110215429, 224, 45, 4.897686050750607e-05, 3, 70
0.487, 0.02419026343264141, 0.07000000000000001, 0.3439296110215429, 186, 43, 4.967199883499262e-05, 3, 40
0.5220000000000001, 0.02614503219487506, 0.07000000000000001, 0.3439296110215429, 188, 54, 5.008626857255758e-05, 3, 18
0.558, 0.02858849314766712, 0.08, 0.3339296110215429, 215, 50, 5.123385868757548e-05, 3, 35
0.5949999999999999, 0.03103195410045918, 0.1, 0.3139296110215429, 214, 55, 5.215454470665408e-05, 3, 3
0.634, 0.03323106895797204, 0.15, 0.2639296110215429, 189, 47, 5.241493526494012e-05, 3, 26
0.677, 0.03567452991076409, 0.3, 0.1139296110215429, 193, 40, 5.269502202476232e-05, 3, 18
0.718, 0.03836233695883537, 0.55, 0.1360703889784571, 199, 57, 5.342943866133059e-05, 4, 22
0.758, 0.04080579791162743, 0.6899999999999999, 0.2760703889784571, 198, 54, 5.383350647971955e-05, 4, 3
