Tempo  Distância           Refletância  Erro                Velocidade Esq.  Velocidade Dir.  Velocidade Média     Oscilação  Suavidade
20     0.0                 69           25.0                0                0                0.0                  1          0
57     0.0                 69           25.0                0                0                0.0                  1          0
93     0.4886921905584122  69           25.0                7                17               0.00525475473718723  1          15
129    3.176499238629679   70           26.0                135              150              0.02462402510565643  1          266
172    6.352998477259359   74           30.0                124              183              0.03693603765848464  1          35
208    8.796459430051421   74           30.0                93               192              0.04229067033678568  1          45
246    12.46165085923951   72           28.0                146              227              0.05065711731398176  1          83
283    15.39380400258999   69           25.0                143              200              0.05439506714696107  1          17
322    18.57030324121967   66           22.0                112              183              0.05767174919633437  1          58
358    21.01376419401173   62           18.0                105              196              0.05869766534640148  1          23
397    23.9459173373622    53           9.0                 120              203              0.0603171721344136   1          20
439    27.36676267127109   41           -3.0                124              205              0.06233886713273597  2          10
479    30.54326190990077   33           -11.0               126              190              0.06376463864279909  2          13
517    33.47541505325124   24           -20.0               187              134              0.06474935213394824  2          119
556    36.40756819660171   29           -15.0               217              97               0.06548123776367214  2          71
592    39.09537524467298   44           0.0                 189              130              0.06603948521059624  3          53
637    42.76056667386107   59           15.0                186              141              0.06712804815362805  3          21
674    45.93706591249076   68           24.0                145              195              0.06815588414316136  3          81
711    48.86921905584123   65           21.0                99               207              0.06873307884084561  3          75
755    52.04571829447091   58           14.0                116              185              0.06893472621784226  3          39
796    55.22221753310059   49           5.0                 126              201              0.06937464514208616  3          29
840    58.39871677173027   41           -3.0                119              199              0.06952228187110745  4          9
878    61.57521601035994   31           -13.0               134              198              0.07013122552432795  4          14
918    64.75171524898963   24           -20.0               183              138              0.0705356375261325   4          109
955    67.68386839234011   26           -18.0               210              106              0.07087316062025141  4          60
995    70.86036763096978   38           -6.0                195              125              0.07121644988037163  4          27
1036   74.03686686959947   52           8.0                 197              126              0.07146415721003809  5          9
1075   76.96902001294993   62           18.0                193              129              0.07159908838413946  5          1
1116   80.14551925157962   72           28.0                140              199              0.07181498140822546  5          115
1155   83.07767239493009   75           31.0                104              210              0.07192872068825116  5          61
1192   86.25417163355976   74           30.0                124              187              0.07236088224291927  5          44
1228   88.94197868163102   75           31.0                125              189              0.07242832140197965  5          4
1270   92.11847792026072   77           33.0                113              209              0.07253423458288245  5          31
1306   95.05063106361119   78           34.0                127              208              0.07277996252956445  5          10
1348   98.47147639752009   78           34.0                125              197              0.07305005667471816  5          14
1387   101.6479756361497   79           35.0                119              197              0.0732862117059479   5          9
1422   104.335782684221    80           36.0                119              189              0.07337256166260269  5          10
1460   107.2679358275715   80           36.0                119              189              0.07347118892299419  5          3
1496   109.9557428756428   80           36.0                117              210              0.07349982812542965  5          22
1533   112.8878960189933   81           37.0                118              211              0.07363854926222651  5          2
1573   116.0643952576229   81           37.0                127              190              0.07378537524324407  5          30
1609   118.9965484009734   82           38.0                121              195              0.07395683555063605  5          8
1649   121.9287015443239   81           37.0                114              208              0.07394099547866819  5          23
1685   124.6165085923951   81           37.0                125              208              0.07395638492130275  5          10
1721   127.7930078310248   81           37.0                119              192              0.07425508880361696  5          21
1758   130.4808148790961   80           36.0                118              186              0.07422116887320596  5          4
1795   133.4129680224465   80           36.0                120              200              0.07432477327155795  5          12
1832   136.345121165797    79           35.0                116              198              0.07442419277609008  5          5
1871   139.2772743091475   78           34.0                126              191              0.07444001833733163  5          16
1910   142.4537735477772   75           31.0                130              199              0.07458312751192522  5          12
1947   145.3859266911276   73           29.0                117              212              0.07467176512127769  5          24
1986   148.0737337391989   71           27.0                116              195              0.07455877831782423  5          21
2025   151.2502329778286   70           26.0                119              193              0.07469147307547091  5          6
2064   154.4267322164583   70           26.0                118              192              0.07481915320564838  5          3
2103   157.3588853598088   70           26.0                126              188              0.07482590839743642  5          14
2146   160.7797306937176   69           25.0                123              205              0.07492065735960747  5          19
2186   163.7118838370681   67           23.0                112              208              0.07489107220359932  5          15
2222   166.6440369804186   61           17.0                123              196              0.07499731637282564  5          24
2263   169.8205362190483   55           11.0                125              200              0.07504221662352995  5          9
2302   172.7526893623987   56           12.0                115              201              0.0750446087586441   5          10
2346   176.4178807915868   53           9.0                 121              195              0.07519943767757324  5          12
2381   179.1056878396581   53           9.0                 125              202              0.07522288443496771  5          12
2419   182.0378409830086   53           9.0                 117              211              0.07525334476354219  5          16
2456   184.969994126359    53           9.0                 120              208              0.07531351552376182  5          3
2495   188.1464933649887   50           6.0                 127              199              0.07540941617835219  5          18
2532   191.0786465083392   52           8.0                 120              188              0.07546550020076586  5          18
2575   194.2551457469689   54           10.0                106              194              0.07543889155222093  5          22
2616   197.4316449855985   53           9.0                 132              203              0.07547081230336337  5          34
2655   200.6081442242282   55           11.0                122              209              0.07555862305997296  5          15
2695   203.7846434628579   61           17.0                112              208              0.07561582317731277  5          13
2731   206.4724505109292   67           23.0                125              187              0.07560324075830436  5          39
2772   209.6489497495589   72           28.0                121              211              0.0756309342530876   5          29
2809   212.8254489881885   74           30.0                115              198              0.07576555677756801  5          17
2849   215.5132560362599   74           30.0                122              193              0.07564522851395572  5          11
2886   218.6897552748895   71           27.0                123              194              0.07577607597882519  5          5
2926   221.8662545135192   77           33.0                117              194              0.07582578759860531  5          4
2964   224.5540615615905   77           33.0                117              184              0.07576047960917355  5          10
3003   227.4862147049409   77           33.0                119              191              0.07575298524973057  5          9
3043   230.6627139435706   78           34.0                110              219              0.07580108903830779  5          39
3082   233.8392131822003   78           34.0                122              200              0.07587255456917595  5          31
3121   236.5270202302716   78           34.0                121              198              0.07578565210838563  5          4
3161   239.7035194689012   76           32.0                108              196              0.07583154681078812  5          14
3203   243.1243648028101   65           21.0                119              200              0.07590520287318454  5          12
3243   246.3008640414397   66           22.0                127              209              0.07594846254746832  5          20
3282   249.4773632800695   60           16.0                129              204              0.07601382184036243  5          9
3325   252.8982086139783   59           15.0                114              195              0.07605961161322656  5          21
3365   255.8303617573288   44           0.0                 120              192              0.07602685341971139  5          8
3411   259.2512070912377   20           -24.0               114              198              0.07600445825014299  6          14
