Tempo  Distância           Refletância  Erro                Velocidade Esq.  Velocidade Dir.  Velocidade Média      Oscilação  Suavidade
20     0.0                 78           34.0                0                0                0.0                   1          0
89     0.7330382858376185  78           34.0                6                15               0.008236385234130543  1          21
133    3.420845333908886   79           35.0                140              140              0.02572064160833749   1          250
171    6.597344572538566   80           36.0                151              186              0.03858096241250624   1          65
210    9.52949771588904    77           33.0                94               211              0.04537856055185257   1          79
251    12.95034304979793   64           20.0                99               224              0.05159499223027062   1          24
295    16.37118838370681   52           8.0                 136              198              0.05549555384307395   1          60
344    20.28072590817411   40           -4.0                117              190              0.05895559857027357   2          30
381    22.72418686096617   27           -17.0               119              185              0.05964353506815269   2          6
426    26.38937829015426   19           -25.0               191              138              0.06194689739472832   2          117
466    29.81022362406315   20           -24.0               214              105              0.0639704369615089    2          60
506    32.98672286269283   27           -17.0               195              136              0.065191151902555     2          48
546    36.16322210132251   34           -10.0               198              128              0.06623300751157968   2          10
584    38.85102914939377   40           -4.0                185              109              0.06652573484485236   2          33
623    41.78318229274424   49           5.0                 196              123              0.06706770833506299   3          21
664    45.20402762665313   60           16.0                205              124              0.06807835485941736   3          18
704    48.13618077000362   70           26.0                128              193              0.06837525677557331   3          148
747    51.80137219919171   66           22.0                115              218              0.06934587978472785   3          47
786    54.73352534254218   56           12.0                131              180              0.06963552842562617   3          60
821    57.42133239061345   47           3.0                 122              199              0.06994072154764122   3          25
860    60.35348553396392   38           -6.0                118              198              0.07017847155112083   4          6
899    63.2856386773144    24           -20.0               124              188              0.07039559363438753   4          7
941    66.70648401122327   17           -27.0               198              129              0.07088893093647531   4          129
980    69.63863715457375   20           -24.0               221              113              0.07105983383119769   4          54
1024   73.30382858376185   26           -18.0               191              123              0.07158577010132992   4          41
1064   76.48032782239152   34           -10.0               194              122              0.07188000735187172   4          1
1106   79.65682706102121   39           -5.0                196              118              0.07202244761394322   4          9
1155   83.3220184902093    53           9.0                 188              126              0.07214027574909895   5          17
1195   86.49851772883897   66           22.0                200              128              0.0723836968442167    5          13
1231   89.67501696746865   77           33.0                154              193              0.07284729241873976   5          108
1274   92.85151620609835   74           30.0                99               218              0.07288188085251047   5          85
1313   95.7836693494488    62           18.0                127              184              0.07295024322121004   5          62
1354   99.2045146833577    56           12.0                129              199              0.07326773610292296   5          20
1393   102.1366678267082   47           3.0                 111              195              0.07332136958126934   5          21
1436   105.5575131606171   38           -6.0                122              209              0.07350801752132107   6          24
1474   108.7340123992467   28           -16.0               134              188              0.07376798670233836   6          23
1518   111.9105116378764   26           -18.0               184              124              0.07372233968239551   6          118
1564   115.3313569717853   40           -4.0                201              114              0.07374127683617986   6          38
1601   118.507856210415    60           16.0                197              135              0.07402114691468769   7          32
1643   121.4400093537654   72           28.0                179              128              0.07391357842590716   7          27
1682   124.6165085923951   79           35.0                137              193              0.07408829286111482   7          108
1721   128.037353926304    80           36.0                118              209              0.07439706794090878   7          43
1759   130.7251609743753   80           36.0                123              188              0.07431788571596093   7          29
1797   133.4129680224465   80           36.0                116              196              0.07424205232189568   7          15
1836   136.8338133563554   80           36.0                129              209              0.07452822078232868   7          28
1874   139.7659664997059   80           36.0                121              205              0.07458162566686548   7          12
1914   142.9424657383356   81           37.0                120              198              0.07468258398032162   7          11
1953   145.8746188816861   81           37.0                122              196              0.0746925851928756    7          6
1993   148.8067720250365   81           37.0                120              204              0.07466471250629027   7          7
2035   152.4719634542246   81           37.0                120              204              0.07492479776620375   7          3
2076   155.6484626928543   81           37.0                128              192              0.07497517470754062   7          21
2113   158.3362697409256   80           36.0                119              200              0.07493434441122838   7          14
2153   161.5127689795552   79           35.0                110              197              0.07501754248934289   7          12
2194   164.6892682181849   76           32.0                127              205              0.07506347685423197   7          20
2231   167.6214213615354   74           30.0                125              199              0.07513286479674379   7          5
2274   171.0422666954443   71           27.0                120              200              0.07521647611936864   7          13
2314   174.4631120293532   69           25.0                111              199              0.07539460329704113   7          12
2356   177.3952651727036   69           25.0                126              194              0.075295104063117     7          28
2398   181.0604566018917   70           26.0                125              203              0.07550477756542607   7          13
2434   183.5039175546838   70           26.0                112              190              0.07539191353931135   7          27
2474   186.4360706980343   66           22.0                120              204              0.07535815307115373   7          16
2514   189.8569160319432   61           17.0                122              210              0.07551985522352551   7          16
2551   192.7890691752937   57           13.0                118              189              0.07557391970807279   7          30
2596   196.4542606044817   53           9.0                 120              219              0.07567575524055536   7          34
2641   199.6307598431114   49           5.0                 115              182              0.07558907983457455   7          37
2684   203.2959512722995   47           3.0                 127              197              0.07574364801501471   7          21
2724   206.22810441565     48           4.0                 126              209              0.0757078210042768    7          16
2760   208.9159114637213   47           3.0                 113              189              0.07569417082018886   7          32
2801   212.3367567976301   47           3.0                 118              205              0.07580748189847558   7          14
2841   215.2689099409806   43           -1.0                125              208              0.07577223158781436   8          20
2881   218.4454091796103   45           1.0                 122              173              0.07582277305783071   9          40
2921   221.62190841824     48           4.0                 183              148              0.07587193030408763   9          88
2966   225.0427537521488   52           8.0                 139              193              0.07587415837901173   9          88
3004   227.9749068954994   57           13.0                92               206              0.07589044836734332   9          61
3046   231.151406134129    62           18.0                135              200              0.07588687003746848   9          50
3081   234.3279053727587   68           24.0                138              208              0.07605579531735107   9          13
3123   237.5044046113884   73           29.0                112              206              0.07605008152782209   9          25
3162   240.680903850018    74           30.0                119              194              0.07611666788425619   9          20
3204   243.6130569933685   77           33.0                120              203              0.07603403776322361   9          13
3244   246.7895562319982   78           34.0                117              190              0.07607569550924729   9          18
3283   249.9660554706279   79           35.0                122              191              0.07613952344521104   9          7
3320   252.6538625186991   79           35.0                122              211              0.07610056099960817   9          21
3361   256.074707852608    79           35.0                111              206              0.07619003506474503   9          15
3404   259.2512070912377   77           33.0                123              205              0.07616075413961156   9          13
3441   262.4277063298674   73           29.0                129              190              0.07626495388836599   9          21
3487   265.604205568497    68           24.0                111              197              0.07616983239704532   9          23
3524   268.5363587118475   56           12.0                111              207              0.07620214492390678   9          10
3564   271.9572040457564   55           11.0                130              202              0.07630673514190698   9          22
3606   275.1337032843861   37           -7.0                116              205              0.0762988639169124    10         18
3646   278.554548618295    23           -21.0               131              188              0.07640004076201179   10         28
3686   281.4867017616455   20           -24.0               204              119              0.07636644106392986   10         142
3723   283.9301627144375   11           -33.0               209              100              0.07626380948547879   10         32
3763   287.1066619530672   14           -30.0               187              129              0.07629727928595993   10         51
3801   290.527507286976    17           -27.0               200              128              0.07643449284056198   10         16
3841   293.4596604303266   18           -26.0               199              125              0.07640189024481295   10         5
3884   297.1248518595146   21           -23.0               203              118              0.07649970439225402   10         11
3922   299.8126589075859   17           -27.0               194              121              0.07644381920132226   10         9
3964   303.2335042414948   20           -24.0               186              129              0.07649684768957993   10         19
4000   305.9213112895661   18           -26.0               194              121              0.07648032782239151   10         14
4045   309.0978105281958   17           -27.0               202              106              0.07641478628632775   10         25
4084   312.2743097668254   20           -24.0               209              127              0.0764628574355596    10         28
4125   315.9395011960136   21           -23.0               204              128              0.07659139422933663   10         6
4161   318.6273082440848   20           -24.0               200              122              0.07657469556454815   10         9
4201   321.8038074827145   22           -22.0               197              109              0.07660171565882278   10         17
4243   324.735960626065    20           -24.0               194              116              0.07653451817724841   10         8
4283   328.1568059599739   22           -22.0               198              133              0.07661844640671815   10         24
4321   331.0889591033243   20           -24.0               207              117              0.0766232258975525    10         24
4364   334.2654583419539   19           -25.0               196              115              0.07659611786020943   10         18
4405   337.4419575805837   17           -27.0               194              123              0.07660430365052978   10         11
4441   340.3741107239342   18           -26.0               204              120              0.07664357368248911   10         12
4485   343.794956057843    16           -28.0               192              114              0.07665439376986466   10         17
4526   346.7271092011935   13           -31.0               201              123              0.07660784560344531   10         18
4564   350.1479545351024   12           -32.0               206              131              0.07671953429778755   10         12
4603   353.0801076784529   12           -32.0               197              99               0.07670651915673537   10         40
4644   356.0122608218034   12           -32.0               202              124              0.07666069354474663   10         30
4687   359.6774522509914   15           -29.0               198              121              0.07673937534691516   10         7
4723   362.3652592990627   18           -26.0               192              114              0.07672353573979731   10         14
4762   365.5417585376924   20           -24.0               207              133              0.07676223404823443   10         35
4797   368.2295655857637   20           -24.0               205              123              0.076762469373726     10         10
4838   371.4060648243934   21           -23.0               196              114              0.07676851277891554   10         21
4876   374.3382179677438   21           -23.0               210              115              0.07677157874646099   10         16
4914   377.2703711110943   20           -24.0               198              127              0.07677459729570497   10         24
4950   380.4468703497239   22           -22.0               191              120              0.07685795360600483   10         16
4991   383.3790234930745   19           -25.0               205              120              0.07681407002465928   10         12
5032   386.5555227317041   16           -28.0               199              114              0.07681946000232593   10         11
5077   389.976368065613    18           -26.0               185              138              0.07681236321954167   10         37
5116   393.1528673042426   20           -24.0               202              120              0.07684770666619285   10         33
5156   396.3293665428724   23           -21.0               210              104              0.07686760406184491   10         23
5192   399.0171735909436   17           -27.0               220              127              0.07685230616158391   10         24
5234   402.9267111154109   19           -25.0               212              142              0.07698255848594018   10         29
5274   405.6145181634822   19           -25.0               189              96               0.07690832729683015   10         71
5314   408.7910174021118   18           -26.0               204              111              0.07692717677871883   10         26
