Tempo (s)            Distância (m)          Refletância (%)  Erro (%)            Velocidade Esq. (deg/s)  Velocidade Dir. (deg/s)  Velocidade Média (m/s)  Oscilação  Suavidade (deg/s)
0.018                0.0                    74               30.27720668859648   0                        0                        0.0                     0          0
0.05600000000000001  0.0004886921905584122  74               30.27720668859648   3                        3                        0.008726646259971648    0          6
0.09299999999999999  0.0004886921905584122  74               30.27720668859648   15                       13                       0.005254754737187229    0          8
0.133                0.002687807048071267   74               30.27720668859648   65                       168                      0.02020907554940802     0          207
0.171                0.005131268000863328   75               31.27720668859648   64                       207                      0.03000741520972706     0          57
0.212                0.00757472895365539    72               28.27720668859648   54                       176                      0.03572985355497826     0          46
0.25                 0.009773843811168245   62               18.27720668859648   38                       188                      0.03909537524467298     0          22
0.287                0.01221730476396031    44               0.277206688596479   51                       220                      0.04256900614620315     0          47
0.323                0.01441641962147316    23               -20.72279331140352  57                       209                      0.04463287808505623     1          11
0.36                 0.01661553447898602    13               -30.72279331140352  56                       180                      0.04615426244162784     1          30
0.396                0.01857030324121967    10               -33.72279331140352  93                       136                      0.04689470515459512     1          77
0.436                0.02101376419401173    8                -35.72279331140352  188                      61                       0.04819670686699937     1          187
0.472                0.02321287905152459    9                -34.72279331140352  219                      45                       0.04917982849899277     1          39
0.509                0.02541199390903743    9                -34.72279331140352  177                      49                       0.04992533184486725     1          43
0.5460000000000001   0.02785545486182949    11               -32.72279331140352  178                      63                       0.05101731659675731     1          20
0.584                0.02981022362406315    19               -24.72279331140352  205                      51                       0.05104490346586156     1          35
0.625                0.03249803067213442    25               -18.72279331140352  212                      48                       0.05199684907541507     1          17
0.666                0.03518583772020568    39               -4.722793311403521  189                      56                       0.05283158816847701     1          31
0.7029999999999999   0.03714060648243933    57               13.27720668859648   199                      48                       0.05283158816847701     2          8
0.744                0.0398284135305106     73               29.27720668859648   190                      54                       0.05353281388509489     2          2
0.777                0.04202752838802345    80               36.27720668859648   146                      127                      0.05408948312486931     2          103
0.816                0.04447098934081551    81               37.27720668859648   69                       195                      0.05449876144707783     2          151
0.8529999999999999   0.04642575810304917    81               37.27720668859648   40                       203                      0.05442644560732611     2          45
0.894                0.04886921905584122    79               35.27720668859648   39                       171                      0.05466355599087384     2          40
0.9300000000000001   0.05131268000863329    76               32.27720668859648   73                       190                      0.0551749247404659      2          48
0.968                0.05351179486614615    68               24.27720668859648   62                       209                      0.05528077982039891     2          27
1.008                0.0561996019142174     53               9.277206688596479   40                       233                      0.05575357332759663     2          50
1.044                0.05839871677173027    38               -5.722793311403521  50                       191                      0.05593746817215543     3          45
1.083                0.06059783162924313    23               -20.72279331140352  67                       181                      0.05595367648129558     3          32
1.121                0.06304129258203518    15               -28.72279331140352  113                      144                      0.05623665707585655     3          78
1.156                0.06524040743954805    13               -30.72279331140352  185                      71                       0.05643633861552598     3          150
1.196                0.0676838683923401     11               -32.72279331140352  208                      40                       0.05659186320429774     3          56
1.234                0.06988298324985296    13               -30.72279331140352  179                      68                       0.05663126681511585     3          55
1.273                0.07208209810736581    18               -25.72279331140352  177                      56                       0.05662380055566835     3          17
1.308                0.07428121296487866    27               -16.72279331140352  212                      49                       0.05678991816886748     3          41
1.346                0.07672467391767073    41               -2.722793311403521  221                      56                       0.05700198656587721     3          20
1.387                0.0791681348704628     57               13.27720668859648   193                      54                       0.05707868411713251     4          31
1.427                0.08136724972797564    69               25.27720668859648   177                      51                       0.05701979658582736     4          17
1.465                0.0840550567760469     76               32.27720668859648   141                      126                      0.05737546537614123     4          107
1.497                0.08625417163355976    77               33.27720668859648   79                       203                      0.05761801712328642     4          144
1.533                0.08820894039579342    77               33.27720668859648   36                       192                      0.05754007853606877     4          47
1.567                0.08991936306274784    77               33.27720668859648   56                       162                      0.05738312894878613     4          57
1.605                0.09236282401553993    73               29.27720668859648   66                       185                      0.05754693085080369     4          34
1.643                0.09480628496833198    63               19.27720668859648   62                       223                      0.05770315579326352     4          44
1.687                0.09749409201640326    43               -0.722793311403521  52                       197                      0.05779140012827697     4          24
1.727                0.09993755296919531    22               -21.72279331140352  43                       198                      0.05786772030642461     5          17
1.766                0.1023810139219874     12               -31.72279331140352  57                       183                      0.05797339406681052     5          26
1.805                0.1048244748747794     9                -34.72279331140352  110                      139                      0.05807450131566728     5          83
1.845                0.1072679358275715     8                -35.72279331140352  199                      75                       0.05813980261656992     5          167
1.881                0.1097113967803635     8                -35.72279331140352  218                      43                       0.05832610142496732     5          53
1.923                0.1116661655425972     11               -32.72279331140352  160                      57                       0.0580687288313038      5          67
1.958                0.1136209343048308     14               -29.72279331140352  170                      52                       0.05802907778591973     5          5
1.997                0.1163087413529021     28               -15.72279331140352  226                      51                       0.05824173327636561     5          59
2.037                0.1189965484009734     48               4.277206688596479   214                      59                       0.05841754953410573     5          12
2.077                0.120951317163207      67               23.27720668859648   177                      55                       0.05823366257255995     6          45
2.111                0.1233947781159991     76               32.27720668859648   201                      45                       0.05845323454097541     6          31
2.154                0.1260825851640704     79               35.27720668859648   151                      98                       0.05853416210031122     6          94
2.19                 0.1285260461168624     80               36.27720668859648   74                       189                      0.05868769229080478     6          177
2.225                0.1302364687838169     81               37.27720668859648   42                       212                      0.05853324439722106     6          55
2.263                0.1324355836413297     82               38.27720668859648   32                       164                      0.05852213152511255     6          60
2.299                0.1346346984988426     82               38.27720668859648   79                       194                      0.05856228729832212     6          73
2.337                0.1373225055469139     83               39.27720668859648   63                       210                      0.05876016497514499     6          31
2.371                0.1392772743091475     83               39.27720668859648   42                       211                      0.05874199675628321     6          24
2.409                0.1414763891666604     83               39.27720668859648   39                       198                      0.05872826449425503     6          18
2.447                0.1439198501194524     83               39.27720668859648   60                       199                      0.05881481410684611     6          22
2.485                0.1463633110722445     83               39.27720668859648   48                       193                      0.05889871672927343     6          17
2.524                0.1485624259297573     83               39.27720668859648   44                       198                      0.05885991518611621     6          7
2.564                0.1510058868825494     83               39.27720668859648   54                       208                      0.05889465167026108     6          21
2.604                0.1536936939306206     83               39.27720668859648   53                       196                      0.05902215588733513     6          5
2.644                0.1561371548834127     81               37.27720668859648   52                       200                      0.05905338686967197     6          5
2.678                0.1580919236456464     80               36.27720668859648   48                       195                      0.05903357865782165     6          9
2.716                0.1605353845984384     80               36.27720668859648   47                       200                      0.05910728446186981     6          5
2.753                0.1627344994559513     78               34.27720668859648   47                       201                      0.05911169613365466     6          1
2.791                0.1651779604087433     78               34.27720668859648   52                       200                      0.05918235772437956     6          8
2.833                0.1676214213615354     78               34.27720668859648   54                       210                      0.05916746253495778     6          15
2.869                0.1700648823143275     77               33.27720668859648   49                       194                      0.05927671046159897     6          18
2.907                0.1720196510765611     78               34.27720668859648   45                       192                      0.05917428657604441     6          9
2.945                0.174218765934074      79               35.27720668859648   49                       195                      0.05915747569917622     6          7
2.98                 0.1764178807915868     81               37.27720668859648   60                       206                      0.05920063113811639     6          22
3.02                 0.1791056878396581     81               37.27720668859648   53                       204                      0.05930651915220466     6          10
3.057                0.181304802697171      82               38.27720668859648   43                       205                      0.05930808069910728     6          12
3.095                0.1835039175546838     81               37.27720668859648   45                       198                      0.05929044185934856     6          9
3.138                0.1861917246027551     80               36.27720668859648   58                       193                      0.0593345202685644      6          17
3.173                0.1883908394602679     80               36.27720668859648   54                       198                      0.05937309784439582     6          6
3.213                0.1908343004130599     80               36.27720668859648   46                       211                      0.05939442901122314     6          28
3.246                0.1927890691752936     80               36.27720668859648   55                       209                      0.05939281243847617     6          10
3.281                0.1949881840328065     81               37.27720668859648   47                       200                      0.05942949833368074     6          11
3.32                 0.1971872988903193     79               35.27720668859648   52                       195                      0.0593937647259998      6          19
3.359                0.1996307598431114     80               36.27720668859648   58                       203                      0.05943160459753242     6          28
3.394                0.2018298747006242     80               36.27720668859648   52                       185                      0.05946666903377261     6          25
3.43                 0.2040289895581371     80               36.27720668859648   41                       202                      0.05948367042511286     6          25
3.466                0.2064724505109292     80               36.27720668859648   58                       219                      0.05957081665058546     6          39
3.505                0.2089159114637212     78               34.27720668859648   54                       187                      0.0596051102606908      6          35
3.541                0.2108706802259549     77               33.27720668859648   45                       199                      0.05955116640100393     6          14
3.583                0.213314141178747      76               32.27720668859648   48                       200                      0.05953506591647974     6          4
3.617                0.2155132560362599     78               34.27720668859648   50                       199                      0.05958342715959631     6          3
3.653                0.2172236787032143     79               35.27720668859648   49                       196                      0.05946446173096476     6          4
3.69                 0.2196671396560063     78               34.27720668859648   48                       206                      0.05953039015067922     6          15
3.726                0.2221106006087984     79               35.27720668859648   52                       195                      0.05961100392077251     6          17
3.766                0.2243097154663112     79               35.27720668859648   49                       192                      0.05956179380411875     6          7
3.799                0.2265088303238241     77               33.27720668859648   50                       201                      0.0596232772634441      6          11
3.833                0.2287079451813369     74               30.27720668859648   51                       206                      0.05966813075432739     6          7
3.867                0.2309070600388498     76               32.27720668859648   50                       203                      0.0597121955104344      6          6
3.906                0.2333505209916418     76               32.27720668859648   52                       192                      0.05974155683349764     6          12
3.945                0.2353052897538755     76               32.27720668859648   48                       196                      0.05964646128108377     6          5
3.98                 0.2375044046113884     78               34.27720668859648   50                       212                      0.05967447352044934     6          15
4.02                 0.2399478655641804     80               36.27720668859648   55                       188                      0.05968852377218418     6          19
4.056                0.2423913265169725     81               37.27720668859648   49                       194                      0.05976117517676837     6          7
4.093                0.2443460952792061     81               37.27720668859648   44                       205                      0.05969853292919768     6          15
4.131                0.2467895562319982     82               38.27720668859648   54                       206                      0.05974087538900948     6          6
4.168                0.2492330171847903     81               37.27720668859648   58                       199                      0.05979678915182109     6          16
4.201                0.2511877859470239     82               38.27720668859648   47                       196                      0.05979237942085788     6          7
4.241                0.253631246899816      82               38.27720668859648   42                       198                      0.05980458545150106     6          16
4.281                0.256074707852608      82               38.27720668859648   58                       198                      0.0598165633853324      6          8
4.323                0.2585181688054001     81               37.27720668859648   58                       198                      0.05980064048239649     6          13
4.359                0.260717283662913      81               37.27720668859648   51                       200                      0.05981126030349002     6          10
