Tempo (s), Distância (m), Refletância (%), Erro (%), Velocidade Esq. (deg/s), Velocidade Dir. (deg/s), Velocidade Média (m/s), Oscilação, Suavidade (deg/s)
3.015, 0.0, 62, 19.4096912103491, 0, 0, 0.0, 0, 0
3.048, 0.0, 42, 0.5903087896508978, 0, 3, 0.0, 0, 0
3.084, 0.0004886921905584122, 42, 0.5903087896508978, 3, 6, 0.0001584605027751013, 0, 9
3.118, 0.001954768762233649, 42, 0.5903087896508978, 76, 134, 0.0006269303278491498, 0, 156
3.16, 0.004642575810304916, 40, 2.590308789650898, 61, 186, 0.001469169560223075, 0, 112
3.194, 0.006352998477259359, 26, 16.5903087896509, 41, 172, 0.001989041476912761, 1, 36
3.232, 0.008552113334772216, 15, 27.5903087896509, 57, 196, 0.002646074670412195, 1, 33
3.268, 0.01099557428756428, 9, 33.5903087896509, 125, 164, 0.003364618815044148, 1, 86
3.305, 0.01343903524035634, 9, 33.5903087896509, 193, 92, 0.004066273900259104, 1, 162
3.338, 0.01514945790731078, 9, 33.5903087896509, 205, 39, 0.004538483495299815, 1, 68
3.374, 0.01734857276482363, 11, 31.5903087896509, 168, 34, 0.005141841364796572, 1, 42
3.412, 0.01954768762233649, 15, 27.5903087896509, 193, 70, 0.005729099537613274, 1, 58
3.448, 0.02199114857512855, 28, 14.5903087896509, 218, 54, 0.00637794332225306, 1, 44
3.488, 0.02443460952792061, 47, 4.409691210349102, 213, 45, 0.007005335300435956, 1, 13
3.524, 0.02663372438543346, 66, 23.4096912103491, 190, 49, 0.007557810552052629, 2, 26
3.562, 0.02883283924294632, 75, 32.4096912103491, 183, 68, 0.008094564638671063, 2, 22
3.599, 0.03127630019573838, 79, 36.4096912103491, 144, 121, 0.008690275130796994, 2, 76
3.638, 0.03347541505325124, 80, 37.4096912103491, 61, 197, 0.009201598420354932, 2, 148
3.676, 0.0359188760060433, 81, 38.4096912103491, 48, 207, 0.009771184985321899, 2, 58
3.712, 0.03787364476827695, 80, 37.4096912103491, 51, 173, 0.01020302930179875, 2, 32
3.746, 0.04007275962578981, 79, 36.4096912103491, 50, 181, 0.01069747987874795, 2, 1
3.782, 0.04227187448330266, 73, 30.40969121034911, 63, 204, 0.01117712175655808, 2, 35
3.819, 0.04471533543609471, 60, 17.4096912103491, 56, 215, 0.01170865028439244, 2, 23
3.857, 0.04715879638888679, 43, 0.4096912103491022, 46, 206, 0.01222680746406191, 2, 20
3.894, 0.04935791124639964, 23, 19.5903087896509, 50, 192, 0.01267537525588075, 3, 18
3.929, 0.05155702610391249, 14, 28.5903087896509, 48, 186, 0.01312217513461759, 3, 8
3.968, 0.05375614096142534, 10, 32.5903087896509, 98, 142, 0.01354741455681082, 3, 81
4.005, 0.0559552558189382, 9, 33.5903087896509, 196, 76, 0.01397134976752514, 3, 173
4.041, 0.05815437067645107, 9, 33.5903087896509, 198, 41, 0.01439108405752315, 3, 47
4.075, 0.0601091394386847, 10, 32.5903087896509, 174, 51, 0.0147507090647079, 3, 33
4.112, 0.06230825429619756, 13, 29.5903087896509, 201, 66, 0.01515278557786906, 3, 43
4.145, 0.06475171524898961, 23, 19.5903087896509, 212, 52, 0.01562164420964768, 3, 28
4.182, 0.06670648401122326, 37, 5.590308789650898, 212, 45, 0.01595085700890083, 3, 11
4.218, 0.06914994496401533, 55, 12.4096912103491, 193, 53, 0.01639401255666556, 4, 23
4.257, 0.07134905982152818, 69, 26.4096912103491, 177, 58, 0.01676040869662396, 4, 26
4.292, 0.07354817467904105, 77, 34.4096912103491, 142, 101, 0.01713610780033575, 4, 66
4.332, 0.0759916356318331, 79, 36.4096912103491, 85, 200, 0.01754192881621263, 4, 168
4.366, 0.07843509658462517, 80, 37.4096912103491, 46, 217, 0.01796497860389949, 4, 50
4.406, 0.08063421144213802, 80, 37.4096912103491, 45, 171, 0.01830100123516523, 4, 53
4.44, 0.08258898020437167, 78, 35.40969121034911, 52, 180, 0.01860112166765127, 4, 14
4.477, 0.08478809506188455, 77, 34.4096912103491, 55, 201, 0.01893859617196438, 4, 22
4.518, 0.08747590210995581, 65, 22.4096912103491, 57, 220, 0.01936164278662147, 4, 22
4.552, 0.08967501696746865, 42, 0.5903087896508978, 48, 215, 0.01970013553766886, 4, 8
4.59, 0.09187413182498151, 23, 19.5903087896509, 43, 181, 0.02001615072439685, 5, 39
4.626, 0.09382890058721516, 16, 26.5903087896509, 48, 166, 0.02028294435521296, 5, 25
4.662, 0.09578366934944881, 10, 32.5903087896509, 111, 130, 0.02054561762107439, 5, 65
4.703, 0.09847147639752007, 8, 34.5903087896509, 195, 88, 0.02093801326759942, 5, 158
4.743, 0.1009149373503121, 8, 34.5903087896509, 217, 51, 0.0212766049652777, 5, 46
4.782, 0.103114052207825, 10, 32.5903087896509, 168, 45, 0.0215629552923097, 5, 68
4.814, 0.1050688209700586, 11, 31.5903087896509, 189, 54, 0.02182567947030715, 5, 26
4.852, 0.1077566280181299, 17, 25.5903087896509, 220, 60, 0.02220870321890559, 5, 37
4.892, 0.110200088970922, 32, 10.5903087896509, 206, 55, 0.02252659218538879, 5, 13
4.926, 0.1121548577331556, 48, 5.409691210349102, 196, 42, 0.02276793701444491, 6, 27
4.961, 0.1143539725906685, 67, 24.4096912103491, 190, 55, 0.02305058911321678, 6, 16
5.016, 0.1175304718292981, 77, 34.4096912103491, 98, 143, 0.02343111479850442, 6, 171
5.054, 0.1199739327820902, 79, 36.4096912103491, 57, 218, 0.02373841170995057, 6, 121
5.088, 0.1224173937348823, 80, 37.4096912103491, 41, 217, 0.02406002235355391, 6, 25
5.122, 0.1243721624971159, 74, 31.4096912103491, 59, 156, 0.02428195284988597, 6, 79
5.159, 0.1263269312593496, 62, 19.4096912103491, 64, 193, 0.02448670890857716, 6, 27
5.197, 0.1287703922121416, 47, 4.409691210349102, 54, 232, 0.02477783186687351, 6, 57
5.236, 0.1312138531649337, 29, 13.5903087896509, 55, 198, 0.02505994139895602, 7, 21
5.272, 0.1334129680224465, 17, 25.5903087896509, 53, 181, 0.02530594992838515, 7, 28
5.309, 0.1358564289752386, 11, 31.5903087896509, 98, 144, 0.02558983405071363, 7, 67
5.346, 0.1380555438327514, 10, 32.5903087896509, 186, 67, 0.02582408227324195, 7, 167
5.385, 0.1400103125949851, 9, 33.5903087896509, 202, 67, 0.026000058049208, 7, 31
5.419, 0.1419650813572188, 12, 30.5903087896509, 174, 30, 0.0261976529539064, 7, 64
5.455, 0.1444085423100108, 14, 28.5903087896509, 187, 79, 0.02647269336572151, 7, 56
5.495, 0.1468520032628029, 23, 19.5903087896509, 207, 58, 0.02672465937448642, 7, 44
5.53, 0.1490511181203158, 38, 4.590308789650898, 217, 44, 0.02695318591687446, 7, 24
5.57, 0.151738925168387, 60, 17.4096912103491, 213, 56, 0.0272421768704465, 8, 12
5.607, 0.1539380400258999, 72, 29.40969121034911, 187, 67, 0.02745461744710181, 8, 37
5.651, 0.1566258470739711, 78, 35.40969121034911, 134, 108, 0.02771648329038597, 8, 89
5.685, 0.1585806158362048, 78, 35.40969121034911, 79, 200, 0.02789456742941158, 8, 155
5.721, 0.1610240767889968, 78, 35.40969121034911, 40, 216, 0.02814614172155162, 8, 60
5.755, 0.1627344994559513, 79, 36.4096912103491, 48, 169, 0.02827706332857538, 8, 50
5.792, 0.1649336143134641, 76, 33.4096912103491, 63, 176, 0.02847610744362296, 8, 22
5.828, 0.1673770752662562, 69, 26.4096912103491, 56, 217, 0.02871947070457381, 8, 49
5.866, 0.1698205362190483, 56, 13.4096912103491, 53, 223, 0.02894997207961954, 8, 14
5.904, 0.1720196510765611, 34, 8.590308789650898, 48, 201, 0.02913611976229016, 9, 27
5.941, 0.174218765934074, 21, 21.5903087896509, 54, 179, 0.02932482173608382, 9, 17
5.978, 0.1764178807915868, 12, 30.5903087896509, 106, 128, 0.0295111878206067, 9, 91
6.015, 0.1788613417443789, 10, 32.5903087896509, 193, 70, 0.02973588391427746, 9, 153
6.051, 0.1808161105066125, 10, 32.5903087896509, 212, 41, 0.02988202123725211, 9, 47
6.086, 0.1830152253641254, 12, 30.5903087896509, 175, 41, 0.03007151254750664, 9, 56
6.122, 0.184969994126359, 15, 27.5903087896509, 176, 63, 0.03021398139927459, 9, 24
6.155, 0.1869247628885927, 26, 16.5903087896509, 203, 53, 0.03036957967320759, 9, 34
6.192, 0.189612569936664, 43, 0.4096912103491022, 230, 46, 0.03062218506729069, 9, 37
6.231, 0.192056030889456, 65, 22.4096912103491, 191, 56, 0.03082266584648628, 10, 42
6.267, 0.1942551457469689, 76, 33.4096912103491, 182, 55, 0.03099651280468627, 10, 15
6.3, 0.1962099145092025, 79, 36.4096912103491, 150, 84, 0.03114443087447659, 10, 61
6.337, 0.1986533754619946, 80, 37.4096912103491, 84, 189, 0.03134817349881562, 10, 181
6.375, 0.2008524903195074, 80, 37.4096912103491, 37, 211, 0.03150627299129528, 10, 42
6.41, 0.2025629129864619, 80, 37.4096912103491, 29, 168, 0.03160107846902682, 10, 62
6.451, 0.2054950661298124, 77, 34.4096912103491, 86, 192, 0.0318547614524589, 10, 70
6.489, 0.2076941809873252, 69, 26.4096912103491, 59, 212, 0.032007116811115, 10, 47
6.532, 0.2103819880353964, 53, 10.4096912103491, 36, 223, 0.03220789773965041, 10, 37
6.57, 0.2128254489881885, 32, 10.5903087896509, 60, 197, 0.03239352343808044, 11, 49
6.608, 0.2150245638457014, 17, 25.5903087896509, 60, 178, 0.03254003690158919, 11, 16
6.642, 0.216979332607935, 10, 32.5903087896509, 91, 145, 0.03266777064256776, 11, 56
6.682, 0.2194227935607271, 8, 34.5903087896509, 185, 69, 0.03283789188277867, 11, 176
6.715, 0.2218662545135191, 7, 35.5903087896509, 217, 48, 0.03304039531102296, 11, 59
6.753, 0.2235766771804736, 9, 33.5903087896509, 168, 38, 0.03310775613512122, 11, 57
6.791, 0.2255314459427073, 10, 32.5903087896509, 177, 51, 0.03321034397624905, 11, 18
