Tempo (s), Distância (m), Vel. Média (m/s), Preto (%), Branco (%), Limite (%), Refletância (%), Erro (%), Ganho Proporcional ((°/s)/%), Ganho Integral ((°/s)/%), Ganho Derivativo ((°/s)/%), Vel. Base (°/s), Correção P (°/s), Correção I (°/s), Correção D (°/s), Correção (°/s), Vel. Angular Esq. (°/s), Vel. Angular Dir. (°/s), Suavidade Esq. (°/s), Suavidade Dir. (°/s), Oscilação
0.009, 0.0, 0.0, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.18, -0.251872460217994, 2.4, 0, 0, 200, -60.44939045231857, 0, 0, -60.44939045231857, 0, 0, 0, 0, 0
0.06600000000000001, 0.0, 0.0, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.77, 0.338127539782006, 2.4, 0, 0, 200, 81.15060954768143, 0, 0, 81.15060954768143, 0, 0, 0, 0, 1
0.113, 0.002443460952792061, 0.021623548254797, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.77, 0.338127539782006, 2.4, 0, 0, 200, 81.15060954768143, 0, 0, 81.15060954768143, 98, 129, 98, 129, 1
0.161, 0.006597344572538566, 0.040977295481606, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.74, 0.308127539782006, 2.4, 0, 0, 200, 73.95060954768143, 0, 0, 73.95060954768143, 134, 182, 36, 53, 1
0.21, 0.01050688209700586, 0.05003277189050412, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.71, 0.278127539782006, 2.4, 0, 0, 200, 66.75060954768144, 0, 0, 66.75060954768144, 96, 245, 38, 63, 1
0.261, 0.0158824961931484, 0.06085247583581762, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.43, -0.001872460217994032, 2.4, 0, 0, 200, -0.4493904523185677, 0, 0, -0.4493904523185677, 159, 304, 63, 59, 2
0.311, 0.02076941809873252, 0.06678269485122996, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.14, -0.291872460217994, 2.4, 0, 0, 200, -70.04939045231857, 0, 0, -70.04939045231857, 147, 237, 12, 67, 2
0.36, 0.02565634000431665, 0.07126761112310181, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.1, -0.3318724602179941, 2.4, 0, 0, 200, -79.64939045231858, 0, 0, -79.64939045231858, 215, 182, 68, 55, 2
0.4050000000000001, 0.02956587752878395, 0.07300216673773813, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.11, -0.321872460217994, 2.4, 0, 0, 200, -77.24939045231856, 0, 0, -77.24939045231856, 268, 95, 53, 87, 2
0.449, 0.03396410724380966, 0.07564389141160279, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.18, -0.251872460217994, 2.4, 0, 0, 200, -60.44939045231857, 0, 0, -60.44939045231857, 280, 99, 12, 4, 2
0.505, 0.0398284135305106, 0.07886814560497148, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.48, 0.04812753978200597, 2.4, 0, 0, 200, 11.55060954768143, 0, 0, 11.55060954768143, 284, 150, 4, 51, 3
0.552, 0.04447098934081551, 0.08056338648698462, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.71, 0.278127539782006, 2.4, 0, 0, 200, 66.75060954768144, 0, 0, 66.75060954768144, 242, 157, 42, 7, 3
0.621, 0.05082398781807487, 0.08184217039947644, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.79, 0.3581275397820059, 2.4, 0, 0, 200, 85.95060954768142, 0, 0, 85.95060954768142, 133, 276, 109, 119, 3
0.6720000000000001, 0.0561996019142174, 0.08363035999139495, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.63, 0.198127539782006, 2.4, 0, 0, 200, 47.55060954768143, 0, 0, 47.55060954768143, 117, 268, 16, 8, 3
0.73, 0.06181956210563914, 0.08468433165156048, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.23, -0.201872460217994, 2.4, 0, 0, 200, -48.44939045231857, 0, 0, -48.44939045231857, 137, 283, 20, 15, 4
0.787, 0.06719517620178168, 0.08538141829959553, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.09, -0.3418724602179941, 2.4, 0, 0, 200, -82.04939045231857, 0, 0, -82.04939045231857, 187, 214, 50, 69, 4
0.8369999999999999, 0.07183775201208659, 0.0858276607073914, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.09, -0.3418724602179941, 2.4, 0, 0, 200, -82.04939045231857, 0, 0, -82.04939045231857, 252, 128, 65, 86, 4
0.881, 0.07623598172711232, 0.08653346393542828, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.12, -0.311872460217994, 2.4, 0, 0, 200, -74.84939045231856, 0, 0, -74.84939045231856, 294, 109, 42, 19, 4
0.931, 0.08136724972797564, 0.08739769036302432, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.36, -0.07187246021799404, 2.4, 0, 0, 200, -17.24939045231857, 0, 0, -17.24939045231857, 294, 126, 0, 17, 4
0.981, 0.08625417163355976, 0.0879247417263606, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.65, 0.218127539782006, 2.4, 0, 0, 200, 52.35060954768143, 0, 0, 52.35060954768143, 256, 142, 38, 16, 5
1.031, 0.09089674744386468, 0.08816367356339931, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.76, 0.328127539782006, 2.4, 0, 0, 200, 78.75060954768144, 0, 0, 78.75060954768144, 188, 221, 68, 79, 5
1.08, 0.09578366934944881, 0.08868858273097111, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.77, 0.338127539782006, 2.4, 0, 0, 200, 81.15060954768143, 0, 0, 81.15060954768143, 128, 265, 60, 44, 5
1.136, 0.1009149373503121, 0.08883357161119026, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.67, 0.238127539782006, 2.4, 0, 0, 200, 57.15060954768144, 0, 0, 57.15060954768144, 110, 279, 18, 14, 5
1.192, 0.1072679358275715, 0.08998987904997611, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.29, -0.141872460217994, 2.4, 0, 0, 200, -34.04939045231857, 0, 0, -34.04939045231857, 148, 276, 38, 3, 6
1.25, 0.1121548577331556, 0.08972388618652449, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.1, -0.3318724602179941, 2.4, 0, 0, 200, -79.64939045231858, 0, 0, -79.64939045231858, 160, 224, 12, 52, 6
1.297, 0.1165530874481813, 0.08986359864933023, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.08, -0.351872460217994, 2.4, 0, 0, 200, -84.44939045231857, 0, 0, -84.44939045231857, 246, 149, 86, 75, 6
1.347, 0.1211956632584863, 0.08997450872938845, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.1, -0.3318724602179941, 2.4, 0, 0, 200, -79.64939045231858, 0, 0, -79.64939045231858, 289, 99, 43, 50, 6
1.397, 0.126815623449908, 0.09077711055827342, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.29, -0.141872460217994, 2.4, 0, 0, 200, -34.04939045231857, 0, 0, -34.04939045231857, 291, 139, 2, 40, 6
1.45, 0.1319468914507713, 0.09099785617294575, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.61, 0.178127539782006, 2.4, 0, 0, 200, 42.75060954768143, 0, 0, 42.75060954768143, 269, 134, 22, 5, 7
1.5, 0.1368338133563554, 0.09122254223757031, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.76, 0.328127539782006, 2.4, 0, 0, 200, 78.75060954768144, 0, 0, 78.75060954768144, 191, 198, 78, 64, 7
1.55, 0.1417207352619395, 0.09143273242705778, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.76, 0.328127539782006, 2.4, 0, 0, 200, 78.75060954768144, 0, 0, 78.75060954768144, 132, 269, 59, 71, 7
