Tempo (s), Distância (m), Refletância (%), Erro (%), Correção (deg/s), Velocidade Esq. (deg/s), Velocidade Dir. (deg/s), Velocidade Média (m/s), Oscilação, Suavidade (deg/s)
0.022, 0.0, 0.77, 0.3491385351546599, 73.31909238247857, 0, 0, 0.0, 0, 0
0.061, 0.0, 0.77, 0.3491385351546599, 73.31909238247857, 0, 0, 0.0, 0, 0
0.095, 0.0007330382858376185, 0.77, 0.3491385351546599, 73.31909238247857, 6, 15, 7.716192482501247e-06, 0, 10
0.133, 0.002932153143350474, 0.77, 0.3491385351546599, 73.31909238247857, 122, 158, 2.204626423571785e-05, 0, 254
0.173, 0.005619960191421741, 0.7800000000000001, 0.3591385351546599, 75.41909238247858, 83, 200, 3.248531902555919e-05, 0, 65
0.211, 0.008552113334772216, 0.77, 0.3491385351546599, 73.31909238247857, 69, 225, 4.053134281882566e-05, 0, 52
0.251, 0.0117286125734019, 0.74, 0.3191385351546599, 67.01909238247858, 95, 240, 4.672754013307528e-05, 0, 50
0.291, 0.01514945790731078, 0.6800000000000001, 0.2591385351546599, 54.41909238247858, 99, 251, 5.205999280862811e-05, 0, 18
0.331, 0.01832595714594046, 0.4699999999999999, 0.04913853515465988, 10.31909238247857, 92, 224, 5.536542944392888e-05, 0, 31
0.371, 0.02125811028929093, 0.24, -0.1808614648453401, -37.98090761752142, 117, 179, 5.729948865037987e-05, 1, 71
0.409, 0.02419026343264141, 0.11, -0.3108614648453401, -65.28090761752143, 161, 152, 5.91448983683164e-05, 1, 70
0.447, 0.02712241657599188, 0.09, -0.3308614648453401, -69.48090761752143, 201, 113, 6.067654714986999e-05, 1, 73
0.485, 0.03005456971934235, 0.11, -0.3108614648453401, -65.28090761752143, 232, 94, 6.196818498833475e-05, 1, 58
0.519, 0.03274237676741362, 0.15, -0.2708614648453401, -56.88090761752143, 234, 88, 6.308743115108597e-05, 1, 11
0.561, 0.0359188760060433, 0.29, -0.1308614648453401, -27.48090761752143, 222, 100, 6.402651694481872e-05, 1, 25
0.6029999999999999, 0.0395840674352314, 0.38, -0.04086146484534012, -8.580907617521426, 211, 114, 6.564521962724941e-05, 1, 14
0.645, 0.04276056667386107, 0.49, 0.06913853515465989, 14.51909238247858, 161, 146, 6.629545220753656e-05, 2, 85
0.6800000000000001, 0.04520402762665313, 0.55, 0.1291385351546599, 27.11909238247858, 150, 167, 6.647651121566636e-05, 2, 36
0.7199999999999999, 0.04838052686528282, 0.5899999999999999, 0.1691385351546599, 35.51909238247858, 130, 189, 6.71951762017817e-05, 2, 47
0.756, 0.05106833391335409, 0.5699999999999999, 0.1491385351546599, 31.31909238247858, 126, 178, 6.755070623459536e-05, 2, 15
0.795, 0.05424483315198376, 0.5, 0.07913853515465988, 16.61909238247858, 136, 197, 6.823249453079719e-05, 2, 28
0.833, 0.05717698629533423, 0.38, -0.04086146484534012, -8.580907617521426, 145, 194, 6.863983949019717e-05, 3, 17
0.873, 0.06035348553396391, 0.3, -0.1208614648453401, -25.38090761752143, 155, 159, 6.913343131038249e-05, 3, 37
0.915, 0.06377433086787279, 0.29, -0.1308614648453401, -27.48090761752143, 187, 140, 6.969872225997027e-05, 3, 61
0.9559999999999999, 0.06670648401122326, 0.31, -0.1108614648453401, -23.28090761752143, 170, 114, 6.977665691550552e-05, 3, 42
0.992, 0.06963863715457375, 0.35, -0.07086146484534011, -14.88090761752143, 177, 136, 7.020023906711063e-05, 3, 20
1.032, 0.07281513639320342, 0.38, -0.04086146484534012, -8.580907617521426, 188, 151, 7.055730270659245e-05, 3, 33
1.068, 0.07574728953655391, 0.42, -0.000861464845340123, -0.1809076175214258, 183, 152, 7.092442840501302e-05, 3, 5
1.11, 0.07892378877518357, 0.4600000000000001, 0.03913853515465988, 8.219092382478575, 148, 155, 7.11025124100753e-05, 4, 31
1.148, 0.08185594191853406, 0.48, 0.05913853515465988, 12.41909238247858, 145, 158, 7.13030852948903e-05, 4, 14
1.185, 0.08454374896660532, 0.4699999999999999, 0.04913853515465988, 10.31909238247857, 156, 169, 7.134493583679774e-05, 4, 20
1.226, 0.08796459430051421, 0.44, 0.01913853515465988, 4.019092382478575, 150, 171, 7.174926125653687e-05, 4, 8
1.263, 0.09065240134858549, 0.38, -0.04086146484534012, -8.580907617521426, 151, 167, 7.177545633300513e-05, 5, 4
