Tempo (s), Distância (m), Refletância (%), Erro (%), Correção (deg/s), Velocidade Esq. (deg/s), Velocidade Dir. (deg/s), Velocidade Média (m/s), Oscilação, Suavidade (deg/s)
0.042, 0.0, 0.8100000000000001, 0.3960703889784572, 84.75906324138982, 0, 0, 0.0, 0, 0
0.142, 0.002443460952792061, 0.8199999999999999, 0.4060703889784571, 86.89906324138983, 86, 103, 1.720747149853564e-05, 0, 171
0.237, 0.01001818990644745, 0.8, 0.3860703889784571, 82.61906324138982, 97, 264, 4.227084348712005e-05, 0, 173
0.334, 0.02076941809873252, 0.22, -0.1939296110215429, -41.50093675861018, 128, 289, 6.218388652315125e-05, 1, 80
0.432, 0.03054326190990077, 0.08, -0.3339296110215429, -71.46093675861017, 237, 175, 7.070199516180732e-05, 1, 222
0.5300000000000001, 0.04031710572106901, 0.08, -0.3339296110215429, -71.46093675861017, 280, 136, 7.607001079446984e-05, 1, 86
0.636, 0.05131268000863329, 0.38, -0.03392961102154288, -7.260936758610177, 275, 133, 8.068031447898317e-05, 1, 5
0.74, 0.06206390820091836, 0.76, 0.3460703889784571, 74.05906324138982, 202, 218, 8.387014621745726e-05, 2, 165
0.8379999999999999, 0.07183775201208659, 0.7, 0.2860703889784571, 61.21906324138983, 133, 289, 8.572524106454246e-05, 2, 140
0.9399999999999999, 0.08258898020437167, 0.18, -0.2339296110215429, -50.06093675861019, 158, 276, 8.786061723869325e-05, 3, 39
1.038, 0.09236282401553993, 0.08, -0.3339296110215429, -71.46093675861017, 248, 164, 8.898152602653171e-05, 3, 189
1.142, 0.1028697061125458, 0.15, -0.2639296110215429, -56.48093675861018, 287, 140, 9.007855176229928e-05, 3, 73
1.24, 0.1131322421142724, 0.6, 0.1860703889784571, 39.81906324138983, 253, 159, 9.123567912441326e-05, 4, 55
1.337, 0.1229060859254407, 0.84, 0.4260703889784571, 91.17906324138984, 177, 255, 9.192676583802593e-05, 4, 155
1.443, 0.1336573141177257, 0.4600000000000001, 0.04607038897845712, 9.859063241389824, 108, 302, 9.262461130819524e-05, 4, 127
1.544, 0.1444085423100108, 0.09, -0.3239296110215429, -69.32093675861019, 221, 199, 9.352884864638007e-05, 5, 207
1.64, 0.1536936939306206, 0.08, -0.3339296110215429, -71.46093675861017, 262, 128, 9.371566703086625e-05, 5, 116
1.74, 0.1644449221229057, 0.3, -0.1139296110215429, -24.38093675861018, 286, 148, 9.450857593270444e-05, 5, 47
1.837, 0.174218765934074, 0.67, 0.2560703889784572, 54.79906324138983, 226, 205, 9.483874030161894e-05, 6, 119
1.938, 0.1842369558405214, 0.77, 0.3560703889784571, 76.19906324138983, 158, 274, 9.506550868963956e-05, 6, 132
2.043, 0.1954768762233649, 0.4, -0.01392961102154288, -2.980936758610177, 130, 304, 9.568129036875423e-05, 7, 61
2.149, 0.20622810441565, 0.09, -0.3239296110215429, -69.32093675861019, 220, 201, 9.596468330183805e-05, 7, 189
2.25, 0.2162462943220974, 0.12, -0.2939296110215428, -62.90093675861018, 281, 120, 9.610946414315443e-05, 7, 139
2.352, 0.2269975225143825, 0.5300000000000001, 0.1160703889784571, 24.83906324138982, 269, 146, 9.651255208944834e-05, 8, 36
2.455, 0.2372600585161092, 0.76, 0.3460703889784571, 74.05906324138982, 175, 249, 9.664360835686727e-05, 8, 190
2.552, 0.2475225945178358, 0.6800000000000001, 0.2660703889784571, 56.93906324138982, 133, 293, 9.699161227187924e-05, 8, 89
2.659, 0.2585181688054001, 0.18, -0.2339296110215429, -50.06093675861019, 165, 254, 9.722383181850322e-05, 9, 69
2.756, 0.2680476665212891, 0.08, -0.3339296110215429, -71.46093675861017, 255, 159, 9.725967580598297e-05, 9, 168
2.86, 0.2787988947135742, 0.19, -0.2239296110215429, -47.92093675861018, 295, 146, 9.748213101873223e-05, 9, 68
2.958, 0.2890614307153008, 0.63, 0.2160703889784571, 46.23906324138983, 252, 162, 9.772191707751889e-05, 10, 57
3.051, 0.2985909284311898, 0.7800000000000001, 0.3660703889784571, 78.33906324138983, 171, 257, 9.786657765689606e-05, 10, 169
3.15, 0.3083647722423581, 0.62, 0.2060703889784571, 44.09906324138983, 134, 290, 9.78935784896375e-05, 10, 77
3.248, 0.318871654339364, 0.13, -0.2839296110215429, -60.76093675861018, 170, 229, 9.817477042468104e-05, 11, 94
