Tempo (s), Distância (m), Refletância (%), Erro (%), Correção (deg/s), Velocidade Esq. (deg/s), Velocidade Dir. (deg/s), Velocidade Média (m/s), Oscilação, Suavidade (deg/s)
0.013, 0.0, 0.54, 0.1191385351546599, 27.40186308557177, 0, 0, 0.0, 0, 0
0.048, 0.0002443460952792061, 0.76, 0.3391385351546599, 78.00186308557177, 0, 3, 5.090543651650128e-06, 0, 3
0.084, 0.0009773843811168245, 0.76, 0.3391385351546599, 78.00186308557177, 14, 16, 1.163552834662886e-05, 0, 27
0.125, 0.002687807048071267, 0.75, 0.3291385351546599, 75.70186308557176, 83, 140, 2.150245638457014e-05, 0, 162
0.168, 0.005619960191421741, 0.77, 0.3491385351546599, 80.30186308557177, 64, 203, 3.345214399655798e-05, 0, 114
0.209, 0.008552113334772216, 0.65, 0.2291385351546599, 52.70186308557177, 88, 245, 4.091920255871873e-05, 0, 64
0.249, 0.0119729586686811, 0.37, -0.05086146484534013, -11.69813691442823, 87, 246, 4.808417136016506e-05, 1, 11
0.289, 0.01490511181203158, 0.17, -0.2508614648453401, -57.69813691442823, 103, 185, 5.157478135651063e-05, 1, 61
0.328, 0.01759291886010284, 0.11, -0.3108614648453401, -71.49813691442823, 176, 122, 5.363694774421598e-05, 1, 137
0.366, 0.02028072590817411, 0.1, -0.3208614648453401, -73.79813691442823, 227, 70, 5.541181942124073e-05, 1, 118
0.402, 0.02247984076568696, 0.14, -0.2808614648453402, -64.59813691442823, 196, 70, 5.592000190469393e-05, 1, 24
0.445, 0.02590068609959585, 0.28, -0.1408614648453401, -32.39813691442823, 212, 92, 5.820378898785585e-05, 1, 25
0.4859999999999999, 0.02907718533822553, 0.4699999999999999, 0.04913853515465988, 11.30186308557177, 229, 108, 5.98295994613694e-05, 2, 31
0.528, 0.032009338481576, 0.6, 0.1791385351546599, 41.20186308557177, 163, 124, 6.062374712419697e-05, 2, 68
0.569, 0.03518583772020568, 0.64, 0.2191385351546598, 50.40186308557177, 121, 187, 6.183802762777799e-05, 2, 120
0.608, 0.03811799086355616, 0.63, 0.2091385351546599, 48.10186308557177, 94, 198, 6.269406392032263e-05, 2, 43
0.648, 0.04105014400690663, 0.55, 0.1291385351546599, 29.70186308557177, 98, 184, 6.334898766497936e-05, 2, 20
0.693, 0.0439822971502571, 0.37, -0.05086146484534013, -11.69813691442823, 115, 193, 6.346651825433925e-05, 3, 27
0.732, 0.04740314248416599, 0.24, -0.1808614648453401, -41.59813691442823, 130, 185, 6.475839137181145e-05, 3, 24
0.768, 0.04984660343695805, 0.17, -0.2508614648453401, -57.69813691442823, 173, 117, 6.490443155853914e-05, 3, 89
0.808, 0.05229006438975011, 0.21, -0.2108614648453401, -48.49813691442822, 199, 82, 6.471542622493826e-05, 3, 85
0.848, 0.05546656362837979, 0.3, -0.1208614648453401, -27.79813691442823, 204, 99, 6.540868352403276e-05, 3, 22
0.8859999999999999, 0.05839871677173027, 0.45, 0.02913853515465987, 6.701863085571771, 194, 120, 6.591277288005673e-05, 4, 26
0.9300000000000001, 0.06157521601035993, 0.55, 0.1291385351546599, 29.70186308557177, 155, 137, 6.620990968855907e-05, 4, 63
0.9699999999999999, 0.06450736915371041, 0.62, 0.1991385351546599, 45.80186308557177, 129, 170, 6.650244242650558e-05, 4, 53
1.011, 0.06743952229706089, 0.63, 0.2091385351546599, 48.10186308557177, 108, 179, 6.670575894862599e-05, 4, 36
1.048, 0.07012732934513216, 0.54, 0.1191385351546599, 27.40186308557177, 97, 183, 6.691539059650017e-05, 4, 13
1.091, 0.07305948248848264, 0.4, -0.02086146484534012, -4.798136914428228, 108, 199, 6.696561181345796e-05, 5, 29
1.129, 0.07623598172711232, 0.22, -0.2008614648453401, -46.19813691442823, 138, 166, 6.752522739336786e-05, 5, 56
1.17, 0.0791681348704628, 0.17, -0.2508614648453401, -57.69813691442823, 179, 129, 6.76650725388571e-05, 5, 77
1.211, 0.08185594191853406, 0.19, -0.2308614648453401, -53.09813691442823, 195, 82, 6.759367623330641e-05, 5, 73
1.252, 0.08478809506188455, 0.3, -0.1208614648453401, -27.79813691442823, 196, 102, 6.772212065645729e-05, 5, 21
1.292, 0.08796459430051421, 0.4600000000000001, 0.03913853515465988, 9.00186308557177, 187, 110, 6.808405131618747e-05, 6, 17
1.328, 0.09040805525330626, 0.58, 0.1591385351546599, 36.60186308557178, 180, 123, 6.807835485941736e-05, 6, 13
1.366, 0.09334020839665675, 0.71, 0.2891385351546599, 66.50186308557178, 133, 179, 6.833104567837244e-05, 6, 91
1.405, 0.09627236154000723, 0.6899999999999999, 0.2691385351546598, 61.90186308557177, 89, 205, 6.852125376512969e-05, 6, 86
1.445, 0.09896016858807849, 0.55, 0.1291385351546599, 29.70186308557177, 81, 204, 6.848454573569446e-05, 6, 19
1.488, 0.1023810139219874, 0.32, -0.1008614648453401, -23.19813691442822, 106, 191, 6.880444484004528e-05, 7, 37
