Tempo, Distância, Refletância, Erro, Velocidade Esq., Velocidade Dir., Velocidade Média, Oscilação, Suavidade
19, 0.0, 79, 35.0, 0, 0, 0.0, 1, 0
71, 0.2443460952792061, 80, 36.0, 0, 3, 0.003441494299707129, 1, 3
112, 1.710422666954443, 79, 35.0, 59, 53, 0.01527163095495038, 1, 109
149, 3.909537524467298, 81, 37.0, 71, 162, 0.02623850687561945, 1, 121
186, 5.619960191421741, 79, 35.0, 61, 189, 0.03021483973882656, 1, 35
225, 8.063421144213802, 69, 25.0, 34, 213, 0.0358374273076169, 1, 51
265, 10.75122819228507, 48, 4.0, 60, 208, 0.04057067242371724, 1, 26
303, 12.95034304979793, 32, -12.0, 53, 200, 0.04274040610494366, 2, 10
343, 15.39380400258999, 21, -23.0, 54, 174, 0.04487989505128275, 2, 25
386, 18.08161105066125, 13, -31.0, 124, 135, 0.04684355194471826, 2, 113
425, 20.52507200345331, 11, -33.0, 208, 60, 0.04829428706694897, 2, 153
461, 22.96853295624538, 11, -33.0, 209, 43, 0.04982328190074919, 2, 26
502, 25.16764781375823, 17, -27.0, 167, 59, 0.05013475660111201, 2, 60
540, 27.36676267127109, 17, -27.0, 192, 51, 0.0506791901319835, 2, 33
578, 29.56587752878395, 20, -24.0, 193, 47, 0.05115203724703105, 2, 5
618, 32.25368457685521, 20, -24.0, 201, 59, 0.05219042811788867, 2, 18
654, 34.45279943436807, 23, -21.0, 214, 53, 0.05268012145927838, 2, 19
698, 37.38495257771854, 47, 3.0, 219, 55, 0.05356010397953945, 3, 9
737, 39.82841353051061, 75, 31.0, 180, 49, 0.05404126666283664, 3, 42
776, 42.02752838802346, 79, 35.0, 120, 133, 0.05415918606704054, 3, 129
812, 44.22664324553631, 79, 35.0, 77, 205, 0.05446630941568511, 3, 135
852, 46.67010419832837, 78, 34.0, 30, 186, 0.0547771176036718, 3, 60
890, 48.86921905584123, 67, 23.0, 71, 184, 0.05490923489420362, 3, 45
933, 51.5570261039125, 55, 11.0, 69, 206, 0.05525940632788049, 3, 22
979, 54.48917924726297, 43, -1.0, 42, 202, 0.05565799718821549, 4, 28
1016, 56.68829410477583, 26, -18.0, 66, 194, 0.05579556506375574, 4, 27
1055, 59.37610115284709, 18, -26.0, 114, 147, 0.05628066459985506, 4, 98
1093, 61.33086991508073, 15, -29.0, 191, 61, 0.05611241529284605, 4, 157
1137, 64.26302305843122, 15, -29.0, 217, 35, 0.05651980919826844, 4, 62
